w	ri
270.0	3.7571e-06
270.2	4.3209e-06
270.4	4.9692e-06
270.6	5.7148e-06
270.8	6.5723e-06
271.0	7.5585e-06
271.2	8.6926e-06
271.4	9.9969e-06
271.6	1.1497e-05
271.8	1.3222e-05
272.0	1.1165e-05
272.2	9.3074e-06
272.4	7.7589e-06
272.6	6.468e-06
272.8	5.3919e-06
273.0	4.4948e-06
273.2	3.747e-06
273.4	3.1236e-06
273.6	2.6039e-06
273.8	2.1707e-06
274.0	2.3103e-06
274.2	2.656e-06
274.4	3.0535e-06
274.6	3.5105e-06
274.8	4.0358e-06
275.0	4.6398e-06
275.2	5.3342e-06
275.4	6.1325e-06
275.6	7.0502e-06
275.8	8.1053e-06
276.0	7.8427e-06
276.2	6.6273e-06
276.4	5.6003e-06
276.6	4.7324e-06
276.8	3.999e-06
277.0	3.3793e-06
277.2	2.8556e-06
277.4	2.413e-06
277.6	2.0391e-06
277.8	1.7231e-06
278.0	1.6304e-06
278.2	1.8782e-06
278.4	2.1637e-06
278.6	2.4925e-06
278.8	2.8714e-06
279.0	3.3078e-06
279.2	3.8106e-06
279.4	4.3897e-06
279.6	5.0569e-06
279.8	5.8255e-06
280.0	1.3069e-06
280.2	1.2891e-06
280.4	1.2717e-06
280.6	1.2544e-06
280.8	1.2374e-06
281.0	1.2206e-06
281.2	1.2041e-06
281.4	1.1877e-06
281.6	1.1716e-06
281.8	1.1557e-06
282.0	1.38e-06
282.2	1.6592e-06
282.4	1.9949e-06
282.6	2.3986e-06
282.8	2.8839e-06
283.0	3.4674e-06
283.2	4.169e-06
283.4	5.0125e-06
283.6	6.0267e-06
283.8	7.2461e-06
284.0	7.7279e-06
284.2	7.9437e-06
284.4	8.1655e-06
284.6	8.3935e-06
284.8	8.6278e-06
285.0	8.8687e-06
285.2	9.1164e-06
285.4	9.3709e-06
285.6	9.6325e-06
285.8	9.9015e-06
286.0	8.5964e-06
286.2	6.5705e-06
286.4	5.022e-06
286.6	3.8385e-06
286.8	2.9339e-06
287.0	2.2425e-06
287.2	1.714e-06
287.4	1.3101e-06
287.6	1.0013e-06
287.8	7.6535e-07
288.0	6.9536e-07
288.2	8.3757e-07
288.4	1.0089e-06
288.6	1.2152e-06
288.8	1.4638e-06
289.0	1.7631e-06
289.2	2.1237e-06
289.4	2.5581e-06
289.6	3.0813e-06
289.8	3.7115e-06
290.0	9.1372e-06
290.2	6.5087e-06
290.4	4.6364e-06
290.6	3.3027e-06
290.8	2.3526e-06
291.0	1.6759e-06
291.2	1.1938e-06
291.4	8.5038e-07
291.6	6.0576e-07
291.8	4.3151e-07
292.0	5.1499e-07
292.2	6.3155e-07
292.4	7.745e-07
292.6	9.498e-07
292.8	1.1648e-06
293.0	1.4284e-06
293.2	1.7517e-06
293.4	2.1482e-06
293.6	2.6344e-06
293.8	3.2307e-06
294.0	2.8188e-06
294.2	2.2088e-06
294.4	1.7308e-06
294.6	1.3563e-06
294.8	1.0628e-06
295.0	8.328e-07
295.2	6.5258e-07
295.4	5.1136e-07
295.6	4.007e-07
295.8	3.1399e-07
296.0	3.294e-07
296.2	4.3066e-07
296.4	5.6305e-07
296.6	7.3613e-07
296.8	9.6241e-07
297.0	1.2583e-06
297.2	1.6451e-06
297.4	2.1507e-06
297.6	2.8119e-06
297.8	3.6762e-06
298.0	3.8744e-06
298.2	2.8937e-06
298.4	2.1613e-06
298.6	1.6142e-06
298.8	1.2056e-06
299.0	9.0048e-07
299.2	6.7256e-07
299.4	5.0232e-07
299.6	3.7518e-07
299.8	2.8022e-07
300.0	1.181e-06
300.2	1.3192e-06
300.4	1.4736e-06
300.6	1.646e-06
300.8	1.8386e-06
301.0	2.0537e-06
301.2	2.2939e-06
301.4	2.5623e-06
301.6	2.8621e-06
301.8	3.197e-06
302.0	3.1304e-06
302.2	3.0441e-06
302.4	2.9602e-06
302.6	2.8786e-06
302.8	2.7992e-06
303.0	2.722e-06
303.2	2.6469e-06
303.4	2.5739e-06
303.6	2.503e-06
303.8	2.434e-06
304.0	2.1824e-06
304.2	1.9087e-06
304.4	1.6693e-06
304.6	1.4599e-06
304.8	1.2768e-06
305.0	1.1166e-06
305.2	9.7659e-07
305.4	8.541e-07
305.6	7.4698e-07
305.8	6.5329e-07
306.0	5.6836e-07
306.2	4.926e-07
306.4	4.2694e-07
306.6	3.7003e-07
306.8	3.207e-07
307.0	2.7795e-07
307.2	2.409e-07
307.4	2.0879e-07
307.6	1.8096e-07
307.8	1.5684e-07
308.0	1.5229e-07
308.2	1.7535e-07
308.4	2.0191e-07
308.6	2.3248e-07
308.8	2.6769e-07
309.0	3.0823e-07
309.2	3.549e-07
309.4	4.0865e-07
309.6	4.7053e-07
309.8	5.4178e-07
310.0	1.3451e-05
310.2	1.4363e-05
310.4	1.5337e-05
310.6	1.6377e-05
310.8	1.7488e-05
311.0	1.8674e-05
311.2	1.994e-05
311.4	2.1292e-05
311.6	2.2736e-05
311.8	2.4278e-05
312.0	2.5366e-05
312.2	2.645e-05
312.4	2.758e-05
312.6	2.8759e-05
312.8	2.9988e-05
313.0	3.1269e-05
313.2	3.2605e-05
313.4	3.3998e-05
313.6	3.5451e-05
313.8	3.6966e-05
314.0	3.4929e-05
314.2	3.1824e-05
314.4	2.8995e-05
314.6	2.6417e-05
314.8	2.4069e-05
315.0	2.1929e-05
315.2	1.998e-05
315.4	1.8204e-05
315.6	1.6585e-05
315.8	1.5111e-05
316.0	1.3839e-05
316.2	1.2729e-05
316.4	1.1707e-05
316.6	1.0768e-05
316.8	9.9037e-06
317.0	9.109e-06
317.2	8.378e-06
317.4	7.7057e-06
317.6	7.0873e-06
317.8	6.5186e-06
318.0	6.1628e-06
318.2	6.1001e-06
318.4	6.0381e-06
318.6	5.9767e-06
318.8	5.9159e-06
319.0	5.8557e-06
319.2	5.7961e-06
319.4	5.7371e-06
319.6	5.6788e-06
319.8	5.621e-06
320.0	9.8315e-05
320.2	9.7663e-05
320.4	9.7015e-05
320.6	9.6371e-05
320.8	9.5731e-05
321.0	9.5096e-05
321.2	9.4465e-05
321.4	9.3838e-05
321.6	9.3215e-05
321.8	9.2596e-05
322.0	8.3992e-05
322.2	7.5824e-05
322.4	6.845e-05
322.6	6.1794e-05
322.8	5.5784e-05
323.0	5.0359e-05
323.2	4.5462e-05
323.4	4.1041e-05
323.6	3.705e-05
323.8	3.3447e-05
324.0	2.9988e-05
324.2	2.6833e-05
324.4	2.4011e-05
324.6	2.1485e-05
324.8	1.9225e-05
325.0	1.7203e-05
325.2	1.5393e-05
325.4	1.3774e-05
325.6	1.2325e-05
325.8	1.1028e-05
326.0	1.0676e-05
326.2	1.0892e-05
326.4	1.1112e-05
326.6	1.1336e-05
326.8	1.1565e-05
327.0	1.1799e-05
327.2	1.2037e-05
327.4	1.228e-05
327.6	1.2528e-05
327.8	1.2781e-05
328.0	1.3553e-05
328.2	1.5145e-05
328.4	1.6923e-05
328.6	1.891e-05
328.8	2.113e-05
329.0	2.3611e-05
329.2	2.6384e-05
329.4	2.9482e-05
329.6	3.2943e-05
329.8	3.6811e-05
330.0	2.9243e-05
330.2	3.2102e-05
330.4	3.524e-05
330.6	3.8685e-05
330.8	4.2467e-05
331.0	4.6619e-05
331.2	5.1176e-05
331.4	5.6179e-05
331.6	6.1671e-05
331.8	6.7701e-05
332.0	7.6287e-05
332.2	8.6119e-05
332.4	9.7219e-05
332.6	1.0975e-04
332.8	1.2389e-04
333.0	1.3986e-04
333.2	1.5789e-04
333.4	1.7824e-04
333.6	2.0121e-04
333.8	2.2714e-04
334.0	2.5594e-04
334.2	2.8822e-04
334.4	3.2458e-04
334.6	3.6553e-04
334.8	4.1164e-04
335.0	4.6356e-04
335.2	5.2204e-04
335.4	5.879e-04
335.6	6.6206e-04
335.8	7.4557e-04
336.0	8.3097e-04
336.2	9.1963e-04
336.4	0.00102
336.6	0.00113
336.8	0.00125
337.0	0.00138
337.2	0.00153
337.4	0.00169
337.6	0.00187
337.8	0.00207
338.0	0.00226
338.2	0.00241
338.4	0.00258
338.6	0.00276
338.8	0.00295
339.0	0.00316
339.2	0.00338
339.4	0.00361
339.6	0.00386
339.8	0.00413
340.0	0.00444
340.2	0.00464
340.4	0.0048
340.6	0.00503
340.8	0.00528
341.0	0.00556
341.2	0.0059
341.4	0.00629
341.6	0.00673
341.8	0.00727
342.0	0.00795
342.2	0.00872
342.4	0.00949
342.6	0.01045
342.8	0.01143
343.0	0.01237
343.2	0.01344
343.4	0.01455
343.6	0.01574
343.8	0.01697
344.0	0.01822
344.2	0.01972
344.4	0.02106
344.6	0.02236
344.8	0.02366
345.0	0.02494
345.2	0.02606
345.4	0.02717
345.6	0.02842
345.8	0.02986
346.0	0.03153
346.2	0.03368
346.4	0.03595
346.6	0.03827
346.8	0.04054
347.0	0.04262
347.2	0.04434
347.4	0.04579
347.6	0.04703
347.8	0.04813
348.0	0.04906
348.2	0.04999
348.4	0.05063
348.6	0.05062
348.8	0.04948
349.0	0.04696
349.2	0.04359
349.4	0.03981
349.6	0.03612
349.8	0.03312
350.0	0.03436
350.2	0.02577
350.4	0.02528
350.6	0.02473
350.8	0.02399
351.0	0.02328
351.2	0.02277
351.4	0.02234
351.6	0.02198
351.8	0.02194
352.0	0.0219
352.2	0.02245
352.4	0.02337
352.6	0.02439
352.8	0.02617
353.0	0.02807
353.2	0.0284
353.4	0.02743
353.6	0.02642
353.8	0.02171
354.0	0.01783
354.2	0.01454
354.4	0.01176
354.6	0.00952
354.8	0.00838
355.0	0.00742
355.2	0.00688
355.4	0.00686
355.6	0.00683
355.8	0.00765
356.0	0.00873
356.2	0.0101
356.4	0.01202
356.6	0.01432
356.8	0.01401
357.0	0.01295
357.2	0.01141
357.4	0.00859
357.6	0.00647
357.8	0.00515
358.0	0.0042
358.2	0.00349
358.4	0.00316
358.6	0.00286
358.8	0.00275
359.0	0.00274
359.2	0.00276
359.4	0.00307
359.6	0.00343
359.8	0.00421
360.0	0.0056
360.2	0.00755
360.4	0.01067
360.6	0.01468
360.8	0.01764
361.0	0.01746
361.2	0.01419
361.4	0.01071
361.6	0.00814
361.8	0.00657
362.0	0.00558
362.2	0.00503
362.4	0.00491
362.6	0.00474
362.8	0.00495
363.0	0.00545
363.2	0.00625
363.4	0.00753
363.6	0.00935
363.8	0.01277
364.0	0.01816
364.2	0.02836
364.4	0.04819
364.6	0.08759
364.8	0.14838
365.0	0.18841
365.2	0.17623
365.4	0.14376
365.6	0.12129
365.8	0.11569
366.0	0.12726
366.2	0.15766
366.4	0.20901
366.6	0.25152
366.8	0.2231
367.0	0.14193
367.2	0.08153
367.4	0.04935
367.6	0.0328
367.8	0.02376
368.0	0.01816
368.2	0.01487
368.4	0.01276
368.6	0.01147
368.8	0.01053
369.0	0.01003
369.2	0.00998
369.4	0.0103
369.6	0.01107
369.8	0.01238
370.0	0.01308
370.2	0.01443
370.4	0.01793
370.6	0.02371
370.8	0.03298
371.0	0.04845
371.2	0.07579
371.4	0.12468
371.6	0.20651
371.8	0.31008
372.0	0.38404
372.2	0.39371
372.4	0.36584
372.6	0.34437
372.8	0.3459
373.0	0.37291
373.2	0.42093
373.4	0.47334
373.6	0.49014
373.8	0.43234
374.0	0.33722
374.2	0.24912
374.4	0.18487
374.6	0.14269
374.8	0.11665
375.0	0.10074
375.2	0.0915
375.4	0.0881
375.6	0.08959
375.8	0.09686
376.0	0.11201
376.2	0.1395
376.4	0.18702
376.6	0.26806
376.8	0.3893
377.0	0.49504
377.2	0.47385
377.4	0.35539
