w	ri
1200	0.547024231
1199.5	0.5638672256
1199	0.5803096771
1198.5	0.5966575623
1198	0.6130552292
1197.5	0.6285915375
1197	0.6423834229
1196.5	0.6545265961
1196	0.6644727325
1195.5	0.6721740723
1195	0.6773435974
1194.5	0.6797701263
1194	0.6797296143
1193.5	0.6773491669
1193	0.6720923615
1192.5	0.664338913
1192	0.6546652222
1191.5	0.6432820892
1191	0.631860733
1190.5	0.6186708832
1190	0.6059091568
1189.5	0.5940341949
1189	0.5833856964
1188.5	0.5735449982
1188	0.5648981476
1187.5	0.5574274826
1187	0.5509900284
1186.5	0.545525856
1186	0.5417381668
1185.5	0.5392418671
1185	0.5382719803
1184.5	0.5392679596
1184	0.5420636368
1183.5	0.5473657227
1183	0.5539089966
1182.5	0.5616697693
1182	0.5709828568
1181.5	0.5814151764
1181	0.5933371735
1180.5	0.6071236038
1180	0.62291996
1179.5	0.639285965
1179	0.65753479
1178.5	0.6767240906
1178	0.6953959656
1177.5	0.715329895
1177	0.7355067444
1176.5	0.7548753357
1176	0.7739812469
1175.5	0.7926661682
1175	0.8103964996
1174.5	0.8261766052
1174	0.8409072876
1173.5	0.8531282806
1173	0.8632332611
1172.5	0.8724672699
1172	0.8792580414
1171.5	0.8844316864
1171	0.8876016998
1170.5	0.8895894623
1170	0.89063797
1169.5	0.8910401154
1169	0.8909750366
1168.5	0.8903562164
1168	0.8899575806
1167.5	0.8891150665
1167	0.8890607452
1166.5	0.8892514038
1166	0.8908789063
1165.5	0.8924278259
1165	0.8943781281
1164.5	0.8970733643
1164	0.9007672119
1163.5	0.9053284454
1163	0.9099951172
1162.5	0.9150579834
1162	0.9200958252
1161.5	0.9259196472
1161	0.9317888641
1160.5	0.9376892853
1160	0.9429270935
1159.5	0.9481996918
1159	0.9528553009
1158.5	0.9570574188
1158	0.9611139679
1157.5	0.9640731049
1157	0.966975174
1156.5	0.9686495972
1156	0.9698828125
1155.5	0.9708992767
1155	0.9711471558
1154.5	0.9709944916
1154	0.9698867035
1153.5	0.9689349365
1153	0.9674184418
1152.5	0.9657966614
1152	0.9633655548
1151.5	0.9605178833
1151	0.9576993561
1150.5	0.954646759
1150	0.9506536102
1149.5	0.9464642334
1149	0.9415671539
1148.5	0.9365905762
1148	0.9304434204
1147.5	0.923662262
1147	0.9164642334
1146.5	0.9092971802
1146	0.9003269196
1145.5	0.8910246277
1145	0.8812516022
1144.5	0.8711036682
1144	0.8603078461
1143.5	0.8494546509
1143	0.8384936523
1142.5	0.8280662537
1142	0.8175053406
1141.5	0.8062548065
1141	0.7963159943
1140.5	0.7870498657
1140	0.7783714294
1139.5	0.7700009155
1139	0.7631758118
1138.5	0.7569274902
1138	0.7512941742
1137.5	0.7471403503
1137	0.744189682
1136.5	0.7421935272
1136	0.7409199524
1135.5	0.7410960388
1135	0.7426644897
1134.5	0.7449060059
1134	0.7480448151
1133.5	0.7528620911
1133	0.7585322571
1132.5	0.7647033691
1132	0.7723760223
1131.5	0.7816040802
1131	0.7905228424
1130.5	0.8009034729
1130	0.8121595764
1129.5	0.8232229614
1129	0.8371578217
1128.5	0.8507066345
1128	0.8650579834
1127.5	0.8790169525
1127	0.8939064026
1126.5	0.9081581879
1126	0.9220954132
1125.5	0.9369194794
1125	0.9502110291
1124.5	0.9610365295
1124	0.9705066681
1123.5	0.9764858246
1123	0.9815855408
1122.5	0.9820970154
1122	0.9782352448
1121.5	0.9707808685
1121	0.9590274048
1120.5	0.9423949432
1120	0.9233383179
1119.5	0.8994211578
1119	0.8720321655
1118.5	0.844272995
1118	0.8154740143
1117.5	0.7848593903
1117	0.7558494568
1116.5	0.728012619
1116	0.6998902893
1115.5	0.6753274536
1115	0.6530747986
1114.5	0.6338723373
1114	0.6177777481
1113.5	0.6040606689
1113	0.5944784927
1112.5	0.5875002289
1112	0.5845872879
1111.5	0.5854434967
1111	0.5894852448
1110.5	0.5979974365
1110	0.6100469971
1109.5	0.626912117
1109	0.6481111908
1108.5	0.6712339783
1108	0.6998181152
1107.5	0.7298397064
1107	0.7601964569
1106.5	0.7914862061
1106	0.81820961
1105.5	0.8376506805
1105	0.8462387848
1104.5	0.8425498962
1104	0.8250792694
1103.5	0.7963642883
1103	0.7532318115
1102.5	0.705171051
1102	0.6553149414
1101.5	0.6036849213
1101	0.5551642609
1100.5	0.510954628
1100	0.4716779709
1099.5	0.4363728714
1099	0.4080922318
1098.5	0.3849496841
1098	0.3670397186
1097.5	0.3537854767
1097	0.3453729248
1096.5	0.3415109634
1096	0.3426138306
1095.5	0.3487934494
1095	0.3605871582
1094.5	0.3792524338
1094	0.4034819794
1093.5	0.4389767456
1093	0.4834188461
1092.5	0.538543396
1092	0.6003950119
1091.5	0.6652274323
1091	0.7200610352
1090.5	0.7463807678
1090	0.7308353424
1089.5	0.6707365417
1089	0.5869892883
1088.5	0.4885630417
1088	0.3993305969
1087.5	0.3224430466
1087	0.2580601883
1086.5	0.2082115746
1086	0.1720567703
1085.5	0.1436302662
1085	0.1215859032
1084.5	0.1051973152
1084	0.0922844696
1083.5	0.08185216904
1083	0.07410816193
1082.5	0.06836324215
1082	0.06378108978
