w	ri
270	1.93980235407544e-06
270.2	1.93096452818061e-06
270.4	1.92212670228578e-06
270.6	1.91328887639095e-06
270.8	1.90455148033584e-06
271	1.89581408428072e-06
271.2	1.88717711806532e-06
271.4	1.87854015184992e-06
271.6	1.86990318563452e-06
271.8	1.86136664925883e-06
272	2.25334431366248e-06
272.2	2.73601012332784e-06
272.4	3.32211866789861e-06
272.6	4.03376451211184e-06
272.8	4.89776242317117e-06
273	5.94695295866308e-06
273.2	7.22080504559515e-06
273.4	8.76752500703009e-06
273.6	1.06455630096814e-05
273.8	1.29253203711887e-05
274	1.13495761860764e-05
274.2	9.09432370545937e-06
274.4	7.28749045916523e-06
274.6	5.83949303016912e-06
274.8	4.67932752179327e-06
275	3.749648495561e-06
275.2	3.00465994456273e-06
275.4	2.40760454746314e-06
275.6	1.92925722090548e-06
275.8	1.54591652271723e-06
276	1.59050737155023e-06
276.2	1.96832442855421e-06
276.4	2.43592576226248e-06
276.6	3.01460249869441e-06
276.8	3.73066725585506e-06
277	4.61686016149118e-06
277.2	5.71365444100751e-06
277.4	7.07086329490218e-06
277.6	8.75055236411843e-06
277.8	1.0829349616358e-05
278	1.13495761860764e-05
278.2	9.01799702727675e-06
278.4	7.1651669143936e-06
278.6	5.69296589402643e-06
278.8	4.52325955087776e-06
279	3.59398224400434e-06
279.2	2.85552163258747e-06
279.4	2.26881050897843e-06
279.6	1.80271562286587e-06
279.8	1.43233037400072e-06
280	1.17171493994296e-06
280.2	1.28690796609489e-06
280.4	1.4134495641345e-06
280.6	1.55244446229864e-06
280.8	1.70499738882417e-06
281	1.87271522114651e-06
281.2	2.05680311734222e-06
281.4	2.25906881452617e-06
281.6	2.48121961997349e-06
281.8	2.72516370063873e-06
282	2.81283895070903e-06
282.2	2.89860603382477e-06
282.4	2.98708472261278e-06
282.6	3.07827501707307e-06
282.8	3.17217691720564e-06
283	3.26899128268991e-06
283.2	3.36871811352589e-06
283.4	3.471558269393e-06
283.6	3.57751175029125e-06
283.8	3.68667898606034e-06
284	4.11230064676817e-06
284.2	4.69378941871209e-06
284.4	5.35753022938175e-06
284.6	6.11517294018399e-06
284.8	6.97987386012132e-06
285	7.96679789499056e-06
285.2	9.09331940706223e-06
285.4	1.03794239344394e-05
285.6	1.18467038926606e-05
285.8	1.35218736190897e-05
286	1.18256136263207e-05
286.2	8.52850198851082e-06
286.4	6.15062467360302e-06
286.6	4.43568473064717e-06
286.8	3.19889125456956e-06
287	2.30697384806974e-06
287.2	1.66372072470172e-06
287.4	1.19983529506287e-06
287.6	8.65303498975616e-07
287.8	6.24040895030732e-07
288	5.19151970433455e-07
288.2	5.4261238099064e-07
288.4	5.67137347848793e-07
288.6	5.92767042943799e-07
288.8	6.19551681195517e-07
289	6.47551520507773e-07
289.2	6.76806732816454e-07
289.4	7.07397661993331e-07
289.6	7.3936447997429e-07
289.8	7.7277748764713e-07
290	8.02233559635239e-07
290.2	7.80661230064677e-07
290.4	7.59681436548427e-07
290.6	7.39254007150605e-07
290.8	7.1938898485518e-07
291	7.00046197726268e-07
291.2	6.81225645763869e-07
291.4	6.62917285984012e-07
291.6	6.45090989434781e-07
291.8	6.27746756116177e-07
292	6.55535692765034e-07
292.2	6.86307395653396e-07
292.4	7.1852528823364e-07
292.6	7.52249628409593e-07
292.8	7.87560760053027e-07
293	8.24528984051741e-07
293.2	8.63234644277508e-07
293.4	9.03758084602097e-07
293.6	9.4617964889728e-07
293.8	9.905897240188e-07
294	9.38235648575905e-07
294.2	8.62441248543767e-07
294.4	7.92783111718154e-07
294.6	7.28739002932551e-07
294.8	6.6987707387619e-07
295	6.157654762383e-07
295.2	5.66032619611939e-07
295.4	5.20306913590166e-07
295.6	4.78277025669867e-07
295.8	4.39641666331901e-07
296	4.21684810991042e-07
