w	ri
1200	5.32938977243003e-05
1199.5	4.83184269385823e-05
1199	4.02276846964853e-05
1198.5	4.21028668676688e-05
1198	3.84550137317301e-05
1197.5	3.43602616818638e-05
1197	5.1919030552634e-05
1196.5	2.98722665642482e-05
1196	4.75061604438156e-05
1195.5	4.88598636566084e-05
1195	3.8799142277673e-05
1194.5	3.07945453972521e-05
1194	2.75687093772426e-05
1193.5	3.4939935438998e-05
1193	3.00827362174303e-05
1192.5	3.30275165280254e-05
1192	4.84188551884853e-05
1191.5	3.49907841472298e-05
1191	2.69771578276885e-05
1190.5	2.2338236966664e-05
1190	3.33717249976321e-05
1189.5	3.41599864724929e-05
1189	3.36365795572631e-05
1188.5	3.82821756202231e-05
1188	4.26618102385425e-05
1187.5	3.6690941088511e-05
1187	3.18778136351903e-05
1186.5	3.63948540816453e-05
1186	3.47443880945615e-05
1185.5	4.38522473090595e-05
1185	4.88562063505825e-05
1184.5	4.55333983552233e-05
1184	5.81069355482721e-05
1183.5	7.16930531953802e-05
1183	5.89203452645522e-05
1182.5	6.63479568626027e-05
1182	5.34092652288878e-05
1181.5	5.92724980818497e-05
1181	5.91741576569187e-05
1180.5	5.92724593319281e-05
1180	7.07063694023675e-05
1179.5	5.31148978863293e-05
1179	4.77888050248487e-05
1178.5	5.02136976724923e-05
1178	5.40199534558453e-05
1177.5	4.46938497830845e-05
1177	5.58298224000651e-05
1176.5	4.13334998753992e-05
1176	2.62938150996889e-05
1175.5	3.83496614434639e-05
1175	2.35146745487165e-05
1174.5	3.87373482925848e-05
1174	2.91482865385722e-05
1173.5	2.80630225184289e-05
1173	2.27168507895043e-05
1172.5	3.16437628290302e-05
1172	2.7517172803288e-05
1171.5	2.03400214641152e-05
1171	3.61460601942294e-05
1170.5	2.05778942920755e-05
1170	2.57064367658554e-05
1169.5	1.50595178074099e-05
1169	2.06760918260203e-05
1168.5	3.01848986537587e-05
1168	3.34938597365194e-05
1167.5	1.60675120912145e-05
1167	1.94179448796956e-05
1166.5	2.88225389997489e-05
1166	2.47056590073882e-05
1165.5	2.56711885472124e-05
1165	2.66795836872533e-05
1164.5	1.94091285807481e-05
1164	1.66667900006454e-05
1163.5	2.35473529661812e-05
1163	2.81628186088722e-05
1162.5	2.25476651259794e-05
1162	1.48056024806877e-05
1161.5	3.4790952184949e-05
1161	1.84567568810905e-05
1160.5	3.30607326487649e-05
1160	2.91039943482878e-05
1159.5	3.50488263597046e-05
1159	2.22986653698523e-05
1158.5	3.59953548520526e-05
1158	4.16593007070677e-05
1157.5	3.18084095399903e-05
1157	3.06787734058988e-05
1156.5	4.30180369573322e-05
1156	3.29034538322992e-05
1155.5	4.00412297584916e-05
1155	3.22342074831721e-05
1154.5	4.66377699981306e-05
1154	4.87221211774758e-05
1153.5	5.0696501192326e-05
1153	2.91536441287431e-05
1152.5	4.79590660637155e-05
1152	3.97028075832223e-05
1151.5	3.33921986669622e-05
1151	4.10359983871661e-05
1150.5	3.89424022151095e-05
1150	3.08442726879533e-05
1149.5	3.9687100539151e-05
1149	3.50080945954407e-05
1148.5	4.99682898312482e-05
1148	3.1240456120561e-05
1147.5	3.9839079885127e-05
1147	5.6191842684654e-05
1146.5	4.17175173097939e-05
1146	5.96374975124267e-05
1145.5	5.70321614700001e-05
1145	5.05743470836792e-05
1144.5	6.0544592451308e-05
1144	6.46463248860497e-05
1143.5	6.8922726509132e-05
1143	7.18856698494352e-05
1142.5	7.19219232254413e-05
1142	7.84822246215952e-05
1141.5	6.49525167177804e-05
1141	7.15466058298265e-05
1140.5	7.63557683703609e-05
1140	7.47047719618668e-05
1139.5	5.47991055679217e-05
1139	5.80075681619953e-05
1138.5	6.23955443537123e-05
1138	5.70909012434802e-05
1137.5	4.63714791531495e-05
1137	4.56480004942447e-05
1136.5	3.64422513525623e-05
1136	3.22390903581957e-05
1135.5	2.75538209811801e-05
1135	3.04252322837889e-05
1134.5	2.97379997294284e-05
1134	3.31632148005541e-05
1133.5	2.74859912146752e-05
1133	2.85032438274058e-05
1132.5	2.89884742470291e-05
1132	3.44550247244327e-05
1131.5	2.12853679850283e-05
1131	1.66762663069828e-05
1130.5	2.65463583358975e-05
1130	2.56591654503883e-05
1129.5	9.15041599916468e-06
1129	1.46673235049892e-05
1128.5	2.1885311966602e-05
1128	1.90418778577446e-05
1127.5	2.40236193482296e-05
1127	3.11257571015342e-05
1126.5	1.97049055674355e-05
1126	2.51113562895459e-05
1125.5	2.93022301778908e-05
1125	2.92166951612889e-05
1124.5	2.2281691583041e-05
1124	3.37083500087509e-05
1123.5	3.89439135764823e-05
1123	2.44041587040883e-05
1122.5	4.19569281403482e-05
1122	2.96598035630843e-05
1121.5	4.27532574841265e-05
1121	3.50742046976384e-05
1120.5	3.00853883660931e-05
1120	3.21910173302561e-05
1119.5	3.41075925006079e-05
1119	2.93624159111981e-05
1118.5	3.5331892383845e-05
1118	2.97919801595142e-05
1117.5	2.63316089125123e-05
1117	2.6057792739127e-05
1116.5	2.50507515265492e-05
1116	2.3479905892862e-05
1115.5	2.1949920381904e-05
1115	1.92873523072432e-05
1114.5	3.13329497076528e-05
1114	3.28281810848746e-05
1113.5	1.53994743547437e-05
1113	2.46922916679808e-05
1112.5	2.32192075926102e-05
1112	4.76566417438281e-06
1111.5	1.61487745882697e-05
1111	2.62996110893087e-05
1110.5	2.62074687065401e-05
1110	1.1678017266663e-05
1109.5	3.06031470407331e-05
1109	1.41793319375947e-05
1108.5	2.63776570932049e-05
1108	2.3641166568053e-05
1107.5	1.85232266553796e-05
1107	2.46523131605827e-05
1106.5	2.79329652254309e-05
1106	2.84119830703708e-05
1105.5	3.34992391306731e-05
1105	3.6722972813995e-05
1104.5	2.68717740505598e-05
1104	1.99107297031675e-05
1103.5	2.69700006495465e-05
1103	3.11493406887355e-05
1102.5	3.59439442335478e-05
1102	4.22719701733067e-05
1101.5	3.05428595797792e-05
1101	2.686177579058e-05
1100.5	3.51836090938165e-05
1100	2.14634232195407e-05
1099.5	4.12085410214183e-05
1099	2.93615754592066e-05
1098.5	3.22352974118402e-05
1098	3.04240842354397e-05
1097.5	2.89682694345378e-05
1097	3.6062927870419e-05
1096.5	2.11462425029882e-05
1096	3.29830669038312e-05
1095.5	2.39650176388998e-05
1095	3.24278704683324e-05
1094.5	3.49661518051026e-05
1094	2.55197686980914e-05
1093.5	2.37430625817659e-05
1093	2.82269644177273e-05
1092.5	4.59632072325748e-05
1092	4.43703789816028e-05
1091.5	4.05480043959509e-05
1091	4.81318702833447e-05
1090.5	4.30362072480993e-05
1090	5.05170169439253e-05
1089.5	5.97078728523066e-05
1089	5.36004141087302e-05
1088.5	5.89801458912558e-05
1088	6.43535076651883e-05
1087.5	6.78053241986197e-05
1087	6.10729064589621e-05
1086.5	7.64066412959934e-05
1086	6.94716134899422e-05
1085.5	5.38323020242984e-05
1085	6.72689689528666e-05
1084.5	6.5694378818028e-05
1084	5.65600828257906e-05
1083.5	5.36807198936264e-05
1083	4.72356019373316e-05
1082.5	4.09593547663396e-05
1082	5.5110853607878e-05
1081.5	3.64149886553524e-05
1081	3.80088365858058e-05
1080.5	3.14809544559628e-05
1080	4.9960670025854e-05
1079.5	3.60953713437279e-05
1079	3.37112782753117e-05
1078.5	3.55777434617765e-05
1078	4.48958398091214e-05
1077.5	5.4545782433626e-05
1077	4.19547143807316e-05
1076.5	4.94845610777153e-05
1076	3.25645472466002e-05
1075.5	5.25362244285143e-05
1075	5.07034040669555e-05
1074.5	4.95948907075927e-05
1074	6.38768803939368e-05
1073.5	5.15065926878004e-05
1073	4.39231264395312e-05
1072.5	5.99975559274935e-05
1072	3.95023555805848e-05
1071.5	4.40246930633064e-05
1071	4.01872290501193e-05
1070.5	2.37862648537848e-05
1070	2.51796534997362e-05
1069.5	1.92150066196704e-05
1069	2.48789161485846e-05
1068.5	2.20454318545029e-05
1068	2.75437670149371e-05
1067.5	2.61350588345334e-05
1067	1.16635212486659e-05
1066.5	1.50665744750169e-05
1066	1.78695456660465e-05
1065.5	3.14372290235925e-05
1065	1.89035916209869e-05
1064.5	2.0369849125265e-05
1064	1.46369194010456e-05
1063.5	2.11632889524042e-05
1063	1.70205801347657e-05
1062.5	1.05802057722327e-05
1062	1.36766457341483e-05
1061.5	1.80388306229949e-05
1061	1.7723776481336e-05
1060.5	1.7205259702189e-05
1060	7.20077912729132e-06
1059.5	7.28426507300391e-06
1059	1.2050194462253e-05
1058.5	2.36540664533722e-05
1058	6.72068225567463e-06
1057.5	2.24830785146601e-05
1057	1.60601381319673e-05
1056.5	2.34928421042823e-05
1056	3.14291756767932e-05
1055.5	2.82241669334523e-05
1055	3.15036249285679e-05
1054.5	2.37061043940981e-05
1054	3.54266287851927e-05
1053.5	1.69712779177014e-05
1053	2.01693753082421e-05
1052.5	3.34199118619187e-05
1052	2.90614581484117e-05
1051.5	2.2939064997792e-05
1051	3.21002942764961e-05
1050.5	2.99961790975265e-05
1050	1.78466741619688e-05
1049.5	3.18218955633858e-05
1049	3.11843830386673e-05
1048.5	3.69166721252563e-05
1048	3.34490831358054e-05
1047.5	4.19045777556233e-05
1047	4.10742136326941e-05
1046.5	4.47516110508255e-05
1046	4.51655602770319e-05
1045.5	5.31709685444023e-05
1045	5.14594981760026e-05
1044.5	5.00433978733012e-05
1044	4.93595101809676e-05
1043.5	5.80458657550079e-05
1043	3.51167990275983e-05
1042.5	3.55285030053255e-05
1042	4.07488633195775e-05
1041.5	3.8055332850827e-05
1041	3.36760421653691e-05
1040.5	6.92817390716161e-07
1040	3.82238911921308e-05
1039.5	1.80605359052702e-05
1039	1.99714640417411e-05
1038.5	1.76322456607533e-05
1038	3.22672976588643e-06
1037.5	1.46693410807744e-05
1037	1.47631607369964e-05
1036.5	1.48880893192264e-05
1036	1.34382630612461e-05
1035.5	1.21973914541429e-05
1035	1.0393555866479e-05
1034.5	-7.4853462152079e-06
1034	5.57164421891093e-06
1033.5	1.57997970799862e-05
1033	1.60214748021106e-05
1032.5	1.70251723593705e-05
1032	2.08123592698811e-05
1031.5	2.07966619106896e-05
1031	8.3652717157175e-06
1030.5	5.46869884587737e-06
1030	2.63275737609419e-06
1029.5	-1.18043200719525e-06
1029	1.0641097544716e-05
1028.5	1.70726616626518e-05
1028	1.84928055950944e-05
1027.5	1.48441422789151e-05
1027	1.00745670827444e-05
1026.5	5.57827097148141e-06
1026	8.3651051992422e-06
1025.5	1.0981457361704e-05
1025	9.63576086577128e-06
1024.5	1.0725783620753e-05
1024	1.29173920449143e-05
1023.5	1.37616127653218e-05
1023	1.94770128364045e-05
1022.5	3.63994844528172e-06
1022	1.07033081252704e-05
1021.5	5.97442291626682e-06
1021	1.11793516822661e-05
1020.5	2.08184144210573e-05
1020	9.66407441404375e-07
1019.5	6.63130465120683e-06
1019	2.01555029715339e-05
1018.5	4.78947270982041e-06
1018	1.71859437764906e-05
1017.5	1.87837190765176e-05
1017	1.07921322872333e-05
1016.5	9.62113586931021e-06
1016	2.29016902042554e-05
1015.5	1.76862563625899e-05
1015	2.76174533041609e-05
1014.5	1.35735362601379e-05
1014	1.95193661678586e-05
1013.5	1.96520804571607e-05
1013	8.11815389608625e-06
1012.5	1.97513618654235e-05
1012	3.29335140033813e-05
1011.5	2.48293923027739e-05
1011	1.45529151363813e-05
1010.5	1.77320235881461e-05
1010	2.37167905093981e-05
1009.5	9.52285598788092e-06
1009	1.29890740841649e-05
1008.5	1.11050005276085e-05
1008	2.18072804952268e-05
1007.5	1.45944219510911e-05
1007	5.60623727468438e-06
1006.5	4.4053910961931e-06
1006	8.3083260844141e-06
1005.5	2.27159885335301e-05
1005	1.20382294955127e-05
1004.5	3.0365157963008e-06
1004	9.26877320012162e-07
1003.5	8.80509883136407e-06
1003	5.58404516023929e-06
1002.5	5.56542498548268e-07
1002	2.51462175915218e-06
1001.5	1.59695422299636e-05
1001	1.35646170268349e-05
1000.5	2.65245549565051e-05
1000	1.15025851261742e-05
999.5	1.04600777071392e-05
999	1.60933094380324e-05
998.5	1.5413189257542e-05
998	2.41639316389433e-05
997.5	2.10865266475896e-05
997	4.9308714765581e-05
996.5	4.68868254605208e-05
996	5.23920102027393e-05
995.5	6.89364111505822e-05
995	4.61320441051945e-05
994.5	4.71282369105188e-05
994	3.85597871533819e-05
993.5	3.95361554051773e-05
993	3.37344476908674e-05
992.5	2.91333932948684e-05
992	1.7904640091712e-05
991.5	1.76952082914644e-05
991	1.03634048666207e-05
990.5	7.27933436653336e-06
990	1.54428025614072e-05
989.5	8.58892826266518e-06
989	1.27402838376812e-05
988.5	2.53077029122315e-05
988	1.12765755477104e-05
987.5	1.71962811216906e-05
987	8.20055354886165e-06
986.5	1.76303891598101e-05
986	2.17826699570824e-05
985.5	6.91836767098811e-06
985	6.45812441690184e-06
984.5	1.95496007291921e-05
984	1.68732729370584e-05
983.5	1.74270742713521e-05
983	1.94610442069563e-05
982.5	3.41768246293771e-05
982	3.70793860421389e-05
981.5	2.7453123884841e-05
981	4.37995336217137e-05
980.5	3.56450815463899e-05
980	4.29218424770542e-05
979.5	4.8839474768986e-05
979	3.70581130945596e-05
978.5	3.3335798598146e-05
978	2.47082990577533e-05
977.5	1.66133835999356e-05
977	3.26565661081421e-05
976.5	2.30363397218583e-05
976	3.81662922059408e-05
975.5	2.22125805516779e-05
975	2.54855789088514e-05
974.5	1.88022938540506e-05
974	1.56689635194307e-05
973.5	3.28586602752436e-05
973	3.2334451657944e-05
972.5	1.4929204983385e-05
972	2.56040829829341e-05
971.5	2.12247365912129e-05
971	3.48619330326646e-05
970.5	1.40853342501891e-05
970	3.06870471643328e-05
969.5	1.0147866455301e-05
969	1.38236731834281e-05
968.5	2.93617619581583e-05
968	2.33049508913411e-05
967.5	2.89173795525638e-05
967	1.79729421495436e-05
966.5	1.12229221045472e-05
966	1.60132943035551e-05
965.5	2.60037299615568e-05
965	1.24215881188237e-05
964.5	1.15756077774785e-05
964	1.08672088508265e-05
963.5	2.25443202639524e-05
963	2.59781118422288e-05
962.5	2.03597515614592e-05
962	2.3028732035567e-05
961.5	2.27782814615689e-05
961	2.80545743801463e-05
960.5	2.01242741548288e-05
960	3.34084870118712e-05
959.5	2.48704219889185e-05
959	1.61793421804733e-05
958.5	2.15470908228053e-05
958	2.95228748947219e-05
957.5	3.37648614796908e-05
957	1.2958444731348e-05
956.5	1.62585907322728e-05
956	1.13282828709842e-05
955.5	1.7432991358378e-05
955	1.33521588733122e-05
954.5	1.52938507858181e-05
954	2.30362274043002e-06
953.5	1.52521017554908e-05
953	1.65833331137331e-05
952.5	6.00545070149939e-06
952	1.16727396001559e-05
951.5	1.10273638581194e-05
951	7.32341099386445e-06
950.5	1.47941582504781e-05
950	1.35662579741872e-05
949.5	4.73750319885544e-06
949	7.764449138706e-06
948.5	1.89812549316973e-05
948	1.00747336002599e-05
947.5	2.3573426430897e-05
947	2.27591544690454e-05
946.5	1.64320476878302e-05
946	1.62208272016029e-05
945.5	1.95255412097319e-05
945	1.78597623667058e-06
944.5	5.16077281731858e-06
944	1.45020434174578e-05
943.5	1.38001089659863e-05
943	-4.10223531197973e-06
942.5	1.2991431962282e-05
942	1.74711073000801e-05
941.5	2.46243274886605e-06
941	-3.1202987474194e-06
940.5	1.53521624584861e-06
940	-2.23628723359662e-06
939.5	-3.26754145693498e-06
939	2.4065136159899e-06
938.5	-2.86849424387776e-06
938	1.65356948547128e-05
937.5	1.14635391135345e-05
937	6.74475388799622e-06
936.5	6.54080745071484e-06
936	1.00892677689852e-05
935.5	1.53619929859192e-05
935	5.25302722220963e-06
934.5	2.2061293919066e-05
934	2.82376287394472e-05
933.5	1.96200668947273e-05
933	4.78126374749694e-06
932.5	1.02980613523021e-05
932	5.01331091119935e-06
931.5	9.48711245369606e-06
931	2.06519560030232e-05
930.5	8.84239066573962e-06
930	1.59855254023354e-05
929.5	7.45454489283945e-06
929	1.58645084400465e-05
928.5	3.86203125856666e-06
928	-3.34575488441867e-06
927.5	7.3516836867162e-06
927	-1.56799584586027e-05
926.5	1.09757073934676e-05
926	9.852173639685e-06
925.5	4.50520959085281e-06
925	4.79464047530815e-06
924.5	-4.20841625249617e-06
924	8.7485710053566e-06
923.5	5.87077272428964e-06
923	1.03163696947364e-05
922.5	1.55473701039452e-05
922	1.03304176356867e-05
921.5	2.02628377161933e-05
921	1.48791555638051e-05
920.5	2.09175783520409e-05
920	1.05490290312611e-05
919.5	1.9301920987845e-05
919	-1.30265681650441e-06
918.5	4.56169745294782e-06
918	1.00985067125477e-05
917.5	1.65415053768536e-05
917	1.34667852297343e-05
916.5	1.41173926168944e-05
916	5.37123338169353e-06
915.5	1.91045619467372e-05
915	1.93691440294025e-05
914.5	1.16896540501745e-05
914	1.61990359413136e-05
913.5	6.59752116919869e-06
913	1.66750855526595e-05
912.5	9.56442941604656e-06
912	1.31632867204087e-05
911.5	1.02074787729895e-05
911	1.26958196809661e-05
910.5	1.22666296372624e-05
910	8.70513016905505e-06
909.5	8.11656139185744e-06
909	-6.74263034755956e-06
908.5	8.58723342639502e-06
908	3.90433887447559e-06
907.5	8.01791093530515e-06
907	6.95824081500871e-06
906.5	4.4396777612775e-06
906	1.4611608888478e-05
905.5	6.32449519149716e-06
905	-6.06154800599505e-06
904.5	1.33216760524137e-05
904	1.54604496814204e-05
903.5	7.65113795982531e-06
903	7.42691646710748e-06
902.5	2.91274578679467e-07
902	2.50881063365691e-06
901.5	1.50279922859357e-05
901	1.06253360010906e-05
