w	ri
450.0	0.000
450.5	0.000
451.0	0.000
451.5	0.000
452.0	0.000
452.5	0.000
453.0	0.000
453.5	0.000
454.0	0.000
454.5	0.000
455.0	0.000
455.5	0.000
456.0	0.000
456.5	0.000
457.0	0.000
457.5	0.000
458.0	0.000
458.5	0.000
459.0	0.000
459.5	0.000
460.0	0.000
460.5	0.000
461.0	0.000
461.5	0.000
462.0	0.000
462.5	0.000
463.0	0.000
463.5	0.000
464.0	0.000
464.5	0.000
465.0	0.000
465.5	0.000
466.0	0.000
466.5	0.000
467.0	0.000
467.5	0.000
468.0	0.000
468.5	0.000
469.0	0.000
469.5	0.000
470.0	0.000
470.5	0.000
471.0	0.000
471.5	0.000
472.0	0.000
472.5	0.000
473.0	0.000
473.5	0.000
474.0	0.000
474.5	0.000
475.0	0.000
475.5	0.000
476.0	0.000
476.5	0.000
477.0	0.000
477.5	0.000
478.0	0.000
478.5	0.000
479.0	0.000
479.5	0.000
480.0	0.000
480.5	0.000
481.0	0.000
481.5	0.000
482.0	0.000
482.5	0.000
483.0	0.000
483.5	0.000
484.0	0.000
484.5	0.000
485.0	0.000
485.5	0.000
486.0	0.000
486.5	0.000
487.0	0.000
487.5	0.000
488.0	0.000
488.5	0.000
489.0	0.000
489.5	0.000
490.0	0.000
490.5	0.000
491.0	0.000
491.5	0.000
492.0	0.000
492.5	0.000
493.0	0.000
493.5	0.000
494.0	0.000
494.5	0.000
495.0	0.000
495.5	0.000
496.0	0.000
496.5	0.000
497.0	0.000
497.5	0.000
498.0	0.000
498.5	0.000
499.0	0.000
499.5	0.000
500.0	0.000
500.5	0.000
501.0	0.000
501.5	0.000
502.0	0.000
502.5	0.000
503.0	0.000
503.5	0.000
504.0	0.000
504.5	0.000
505.0	0.000
505.5	0.000
506.0	0.000
506.5	0.000
507.0	0.000
507.5	0.000
508.0	0.000
508.5	0.000
509.0	0.000
509.5	0.000
510.0	0.000
510.5	0.000
511.0	0.000
511.5	0.000
512.0	0.001
512.5	0.001
513.0	0.001
513.5	0.001
514.0	0.001
514.5	0.001
515.0	0.001
515.5	0.001
516.0	0.001
516.5	0.001
517.0	0.001
517.5	0.002
518.0	0.002
518.5	0.002
519.0	0.002
519.5	0.002
520.0	0.003
520.5	0.003
521.0	0.003
521.5	0.003
522.0	0.004
522.5	0.004
523.0	0.005
523.5	0.005
524.0	0.006
524.5	0.007
525.0	0.008
525.5	0.008
526.0	0.010
526.5	0.011
527.0	0.012
527.5	0.013
528.0	0.015
528.5	0.017
529.0	0.019
529.5	0.021
530.0	0.024
530.5	0.027
531.0	0.029
531.5	0.033
532.0	0.036
532.5	0.041
533.0	0.046
533.5	0.051
534.0	0.057
534.5	0.063
535.0	0.070
535.5	0.077
536.0	0.085
536.5	0.095
537.0	0.104
537.5	0.113
538.0	0.126
538.5	0.137
539.0	0.151
539.5	0.164
540.0	0.181
540.5	0.196
541.0	0.212
541.5	0.232
542.0	0.250
542.5	0.270
543.0	0.289
543.5	0.312
544.0	0.337
544.5	0.359
545.0	0.384
545.5	0.408
546.0	0.431
546.5	0.459
547.0	0.485
547.5	0.514
548.0	0.540
548.5	0.569
549.0	0.594
549.5	0.622
550.0	0.651
550.5	0.677
551.0	0.705
551.5	0.730
552.0	0.752
552.5	0.780
553.0	0.801
553.5	0.826
554.0	0.848
554.5	0.865
555.0	0.880
555.5	0.901
556.0	0.920
556.5	0.933
557.0	0.947
557.5	0.955
558.0	0.968
558.5	0.978
559.0	0.986
559.5	0.989
560.0	0.993
560.5	0.996
561.0	0.998
561.5	1.000
562.0	1.000
562.5	0.997
563.0	0.997
563.5	0.992
564.0	0.985
564.5	0.981
565.0	0.976
565.5	0.973
566.0	0.963
566.5	0.957
567.0	0.947
567.5	0.938
568.0	0.924
568.5	0.915
569.0	0.903
569.5	0.893
570.0	0.882
570.5	0.867
571.0	0.856
571.5	0.841
572.0	0.828
572.5	0.817
573.0	0.805
573.5	0.789
574.0	0.775
574.5	0.762
575.0	0.748
575.5	0.736
576.0	0.718
576.5	0.706
577.0	0.690
577.5	0.679
578.0	0.667
578.5	0.653
579.0	0.639
579.5	0.628
580.0	0.615
580.5	0.600
581.0	0.587
581.5	0.578
582.0	0.566
582.5	0.556
583.0	0.539
583.5	0.528
584.0	0.520
584.5	0.510
585.0	0.502
585.5	0.492
586.0	0.484
586.5	0.473
587.0	0.464
587.5	0.454
588.0	0.444
588.5	0.436
589.0	0.429
589.5	0.420
590.0	0.411
590.5	0.407
591.0	0.400
591.5	0.394
592.0	0.388
592.5	0.384
593.0	0.380
593.5	0.371
594.0	0.365
594.5	0.360
595.0	0.358
595.5	0.353
596.0	0.349
596.5	0.345
597.0	0.340
597.5	0.337
598.0	0.333
598.5	0.330
599.0	0.328
599.5	0.322
600.0	0.320
600.5	0.316
601.0	0.314
601.5	0.311
602.0	0.307
602.5	0.306
603.0	0.304
603.5	0.300
604.0	0.297
604.5	0.295
605.0	0.292
605.5	0.289
606.0	0.286
606.5	0.283
607.0	0.281
607.5	0.278
608.0	0.276
608.5	0.273
609.0	0.270
609.5	0.267
610.0	0.267
610.5	0.263
611.0	0.260
611.5	0.256
612.0	0.253
612.5	0.249
613.0	0.246
613.5	0.243
614.0	0.241
614.5	0.237
615.0	0.235
615.5	0.232
616.0	0.229
616.5	0.225
617.0	0.223
617.5	0.218
618.0	0.216
618.5	0.213
619.0	0.209
619.5	0.207
620.0	0.202
620.5	0.202
621.0	0.199
621.5	0.194
622.0	0.190
622.5	0.189
623.0	0.184
623.5	0.181
624.0	0.179
624.5	0.176
625.0	0.173
625.5	0.170
626.0	0.168
626.5	0.164
627.0	0.161
627.5	0.159
628.0	0.153
628.5	0.152
629.0	0.149
629.5	0.146
630.0	0.143
630.5	0.140
631.0	0.138
631.5	0.135
632.0	0.133
632.5	0.131
633.0	0.127
633.5	0.126
634.0	0.122
634.5	0.120
635.0	0.118
635.5	0.115
636.0	0.113
636.5	0.111
637.0	0.108
637.5	0.106
638.0	0.104
638.5	0.103
639.0	0.101
639.5	0.099
640.0	0.096
640.5	0.094
641.0	0.093
641.5	0.090
642.0	0.088
642.5	0.087
643.0	0.085
643.5	0.083
644.0	0.082
644.5	0.080
645.0	0.078
645.5	0.078
646.0	0.076
646.5	0.074
647.0	0.074
647.5	0.072
648.0	0.071
648.5	0.069
649.0	0.068
649.5	0.067
650.0	0.066
650.5	0.065
651.0	0.063
651.5	0.062
652.0	0.061
652.5	0.060
653.0	0.059
653.5	0.058
654.0	0.057
654.5	0.057
655.0	0.055
655.5	0.054
656.0	0.053
656.5	0.051
657.0	0.051
657.5	0.050
658.0	0.050
658.5	0.049
659.0	0.048
659.5	0.048
660.0	0.047
660.5	0.047
661.0	0.045
661.5	0.045
662.0	0.044
662.5	0.044
663.0	0.043
663.5	0.043
664.0	0.042
664.5	0.040
665.0	0.041
665.5	0.040
666.0	0.040
666.5	0.039
667.0	0.038
667.5	0.038
668.0	0.037
668.5	0.036
669.0	0.036
669.5	0.036
670.0	0.035
670.5	0.034
671.0	0.035
671.5	0.035
672.0	0.034
672.5	0.033
673.0	0.032
673.5	0.032
674.0	0.031
674.5	0.031
675.0	0.031
675.5	0.030
676.0	0.030
676.5	0.029
677.0	0.029
677.5	0.029
678.0	0.029
678.5	0.027
679.0	0.028
679.5	0.027
680.0	0.027
680.5	0.026
681.0	0.025
681.5	0.025
682.0	0.025
682.5	0.024
683.0	0.024
683.5	0.024
684.0	0.024
684.5	0.024
685.0	0.023
685.5	0.023
686.0	0.022
686.5	0.022
687.0	0.022
687.5	0.021
688.0	0.021
688.5	0.020
689.0	0.020
689.5	0.020
690.0	0.019
690.5	0.019
691.0	0.019
691.5	0.018
692.0	0.018
692.5	0.018
693.0	0.017
693.5	0.017
694.0	0.017
694.5	0.017
695.0	0.017
695.5	0.016
696.0	0.016
696.5	0.015
697.0	0.015
697.5	0.015
698.0	0.015
698.5	0.014
699.0	0.014
699.5	0.014
700.0	0.014
700.5	0.013
701.0	0.013
701.5	0.013
702.0	0.012
702.5	0.012
703.0	0.012
703.5	0.012
704.0	0.012
704.5	0.012
705.0	0.012
705.5	0.011
706.0	0.011
706.5	0.010
707.0	0.010
707.5	0.010
708.0	0.010
708.5	0.010
709.0	0.010
709.5	0.009
710.0	0.009
710.5	0.010
711.0	0.009
711.5	0.009
712.0	0.009
712.5	0.009
713.0	0.008
713.5	0.009
714.0	0.009
714.5	0.008
715.0	0.008
715.5	0.008
716.0	0.008
716.5	0.008
717.0	0.007
717.5	0.007
718.0	0.007
718.5	0.007
719.0	0.007
719.5	0.007
720.0	0.007
720.5	0.007
721.0	0.006
721.5	0.006
722.0	0.006
722.5	0.006
723.0	0.006
723.5	0.006
724.0	0.006
724.5	0.006
725.0	0.006
725.5	0.006
726.0	0.006
726.5	0.006
727.0	0.005
727.5	0.005
728.0	0.005
728.5	0.005
729.0	0.005
729.5	0.005
730.0	0.005
730.5	0.005
731.0	0.005
731.5	0.005
732.0	0.005
732.5	0.005
733.0	0.005
733.5	0.004
734.0	0.004
734.5	0.005
735.0	0.004
735.5	0.004
736.0	0.004
736.5	0.004
737.0	0.004
737.5	0.004
738.0	0.004
738.5	0.004
739.0	0.004
739.5	0.004
740.0	0.004
740.5	0.004
741.0	0.004
741.5	0.004
742.0	0.003
742.5	0.004
743.0	0.003
743.5	0.003
744.0	0.003
744.5	0.003
745.0	0.003
745.5	0.003
746.0	0.003
746.5	0.003
747.0	0.003
747.5	0.003
748.0	0.003
748.5	0.003
749.0	0.003
749.5	0.003
750.0	0.003
750.5	0.003
751.0	0.003
751.5	0.003
752.0	0.003
752.5	0.003
753.0	0.003
753.5	0.002
754.0	0.002
754.5	0.003
755.0	0.003
755.5	0.002
756.0	0.003
756.5	0.002
757.0	0.002
757.5	0.002
758.0	0.002
758.5	0.002
759.0	0.003
759.5	0.002
760.0	0.002
760.5	0.002
761.0	0.002
761.5	0.002
762.0	0.002
762.5	0.002
763.0	0.002
763.5	0.002
764.0	0.002
764.5	0.002
765.0	0.002
765.5	0.002
766.0	0.002
766.5	0.002
767.0	0.002
767.5	0.002
768.0	0.002
768.5	0.002
769.0	0.002
769.5	0.002
770.0	0.001
770.5	0.002
771.0	0.002
771.5	0.002
772.0	0.002
772.5	0.002
773.0	0.001
773.5	0.002
774.0	0.001
774.5	0.001
775.0	0.002
775.5	0.001
776.0	0.002
776.5	0.001
777.0	0.001
777.5	0.001
778.0	0.001
778.5	0.001
779.0	0.001
779.5	0.001
780.0	0.001
780.5	0.001
781.0	0.001
781.5	0.001
782.0	0.001
782.5	0.001
783.0	0.001
783.5	0.001
784.0	0.001
784.5	0.001
785.0	0.001
785.5	0.001
786.0	0.001
786.5	0.001
787.0	0.001
787.5	0.001
788.0	0.001
788.5	0.001
789.0	0.001
789.5	0.001
790.0	0.001
790.5	0.001
791.0	0.001
791.5	0.001
792.0	0.001
792.5	0.001
793.0	0.001
793.5	0.001
794.0	0.001
794.5	0.001
795.0	0.001
795.5	0.001
796.0	0.001
796.5	0.001
797.0	0.001
797.5	0.001
798.0	0.001
798.5	0.001
799.0	0.001
799.5	0.001
800.0	0.001
800.5	0.001
801.0	0.001
801.5	0.001
802.0	0.001
802.5	0.001
803.0	0.001
803.5	0.001
804.0	0.001
804.5	0.001
805.0	0.001
805.5	0.001
806.0	0.001
806.5	0.001
807.0	0.001
807.5	0.000
808.0	0.001
808.5	0.001
809.0	0.000
809.5	0.000
810.0	0.001
810.5	0.000
811.0	0.001
811.5	0.001
812.0	0.001
812.5	0.000
813.0	0.001
813.5	0.001
814.0	0.001
814.5	0.000
815.0	0.000
815.5	0.001
816.0	0.001
816.5	0.000
817.0	0.001
817.5	0.000
818.0	0.000
818.5	0.001
819.0	0.001
819.5	0.001
820.0	0.001
820.5	0.000
821.0	0.000
821.5	0.000
822.0	0.001
822.5	0.000
823.0	0.000
823.5	0.000
824.0	0.000
824.5	0.000
825.0	0.000
825.5	0.000
826.0	0.000
826.5	0.000
827.0	0.000
827.5	0.000
828.0	0.000
828.5	0.000
829.0	0.000
829.5	0.000
830.0	0.000
830.5	0.000
831.0	0.000
831.5	0.000
832.0	0.001
832.5	0.000
833.0	0.000
833.5	0.000
834.0	0.000
834.5	0.000
835.0	0.000
835.5	0.000
836.0	0.000
836.5	0.000
837.0	0.000
837.5	0.000
838.0	0.000
838.5	0.000
839.0	0.000
839.5	0.000
840.0	0.000
840.5	0.000
841.0	0.000
841.5	0.000
842.0	0.001
842.5	0.000
843.0	0.000
843.5	0.000
844.0	0.000
844.5	0.000
845.0	0.000
845.5	0.000
846.0	0.000
846.5	0.000
847.0	0.000
847.5	0.000
848.0	0.000
848.5	0.000
849.0	0.000
849.5	0.000
850.0	0.000
