w	ri
300.0	7.2325e-05
300.2	7.1945e-05
300.4	7.1567e-05
300.6	7.1192e-05
300.8	7.0818e-05
301.0	7.0447e-05
301.2	7.0077e-05
301.4	6.9709e-05
301.6	6.9344e-05
301.8	6.898e-05
302.0	6.8618e-05
302.2	6.8258e-05
302.4	6.7899e-05
302.6	6.7543e-05
302.8	6.7189e-05
303.0	6.6836e-05
303.2	6.6485e-05
303.4	6.6137e-05
303.6	6.5789e-05
303.8	6.488e-05
304.0	6.3484e-05
304.2	6.2119e-05
304.4	6.0782e-05
304.6	5.9475e-05
304.8	5.8195e-05
305.0	5.6943e-05
305.2	6.4158e-05
305.4	6.5583e-05
305.6	2.6356e-05
305.8	3.8472e-05
306.0	5.1086e-05
306.2	6.5778e-05
306.4	3.2305e-05
306.6	5.474e-05
306.8	5.9055e-05
307.0	6.4158e-05
307.2	5.64e-05
307.4	5.0303e-05
307.6	6.6153e-05
307.8	6.8219e-05
308.0	4.0846e-05
308.2	5.879e-05
308.4	3.5542e-05
308.6	2.4037e-05
308.8	5.3034e-05
309.0	6.3176e-05
309.2	4.8864e-05
309.4	5.0895e-05
309.6	5.3725e-05
309.8	6.2343e-05
310.0	5.4972e-05
310.2	5.1677e-05
310.4	7.8932e-05
310.6	6.0913e-05
310.8	3.7914e-05
311.0	4.104e-05
311.2	6.0554e-05
311.4	4.6694e-05
311.6	7.2842e-05
311.8	5.7831e-05
312.0	5.7893e-05
312.2	5.1563e-05
312.4	6.0006e-05
312.6	8.3703e-05
312.8	7.0457e-05
313.0	6.6266e-05
313.2	6.2545e-05
313.4	4.1063e-05
313.6	7.5237e-05
313.8	6.6783e-05
314.0	8.1709e-05
314.2	7.0463e-05
314.4	5.1142e-05
314.6	7.2888e-05
314.8	9.325e-05
315.0	7.0666e-05
315.2	8.305e-05
315.4	8.0038e-05
315.6	8.7255e-05
315.8	6.8522e-05
316.0	6.5837e-05
316.2	6.4223e-05
316.4	7.6365e-05
316.6	8.009e-05
316.8	8.0842e-05
317.0	7.9227e-05
317.2	6.8622e-05
317.4	8.1878e-05
317.6	8.5197e-05
317.8	5.3394e-05
318.0	7.4848e-05
318.2	5.9329e-05
318.4	6.7361e-05
318.6	7.7904e-05
318.8	7.3006e-05
319.0	9.2695e-05
319.2	8.5457e-05
319.4	5.908e-05
319.6	5.3205e-05
319.8	8.7719e-05
320.0	1.021e-04
320.2	7.8947e-05
320.4	8.4795e-05
320.6	1.0285e-04
320.8	8.7254e-05
321.0	9.258e-05
321.2	8.1987e-05
321.4	1.1883e-04
321.6	1.3896e-04
321.8	1.0574e-04
322.0	1.3792e-04
322.2	1.4068e-04
322.4	1.4589e-04
322.6	1.6885e-04
322.8	1.921e-04
323.0	2.0385e-04
323.2	1.9099e-04
323.4	2.0865e-04
323.6	1.845e-04
323.8	2.1859e-04
324.0	2.0829e-04
324.2	2.1206e-04
324.4	2.189e-04
324.6	2.4425e-04
324.8	2.3208e-04
325.0	2.3952e-04
325.2	2.365e-04
325.4	2.4028e-04
325.6	2.4798e-04
325.8	2.7829e-04
326.0	2.5896e-04
326.2	2.8438e-04
326.4	3.1332e-04
326.6	3.1226e-04
326.8	3.4713e-04
327.0	3.0226e-04
327.2	3.2274e-04
327.4	3.4319e-04
327.6	3.2151e-04
327.8	3.4171e-04
328.0	3.3902e-04
328.2	3.2731e-04
328.4	3.441e-04
328.6	3.4584e-04
328.8	3.2381e-04
329.0	3.4953e-04
329.2	3.4673e-04
329.4	3.3504e-04
329.6	3.4212e-04
329.8	3.4601e-04
330.0	3.4124e-04
330.2	3.6418e-04
330.4	3.8328e-04
330.6	4.0631e-04
330.8	4.1474e-04
331.0	4.1108e-04
331.2	4.0903e-04
331.4	4.1276e-04
331.6	4.2206e-04
331.8	4.291e-04
332.0	4.3123e-04
332.2	4.1098e-04
332.4	4.291e-04
332.6	4.6371e-04
332.8	4.364e-04
333.0	4.5003e-04
333.2	4.7386e-04
333.4	4.7958e-04
333.6	5.3448e-04
333.8	5.4047e-04
334.0	5.1833e-04
334.2	5.4147e-04
334.4	5.3132e-04
334.6	5.7234e-04
334.8	5.6131e-04
335.0	5.8087e-04
335.2	5.9414e-04
335.4	5.9297e-04
335.6	6.1139e-04
335.8	6.1459e-04
336.0	6.2161e-04
336.2	6.2254e-04
336.4	6.053e-04
336.6	6.2063e-04
336.8	5.7535e-04
337.0	5.9439e-04
337.2	5.9975e-04
337.4	6.1674e-04
337.6	6.2079e-04
337.8	6.3105e-04
338.0	6.6742e-04
338.2	6.3284e-04
338.4	6.6511e-04
338.6	6.9795e-04
338.8	6.7406e-04
339.0	6.9798e-04
339.2	7.334e-04
339.4	7.3077e-04
339.6	7.3637e-04
339.8	7.3657e-04
340.0	7.5339e-04
340.2	7.5734e-04
340.4	7.633e-04
340.6	7.8691e-04
340.8	8.2056e-04
341.0	8.6752e-04
341.2	8.6705e-04
341.4	8.7676e-04
341.6	9.1021e-04
341.8	9.5521e-04
342.0	0.00101
342.2	0.00106
342.4	0.0011
342.6	0.00115
342.8	0.00121
343.0	0.00125
343.2	0.0013
343.4	0.00139
343.6	0.00149
343.8	0.00156
344.0	0.00163
344.2	0.00166
344.4	0.00174
344.6	0.00184
344.8	0.00181
345.0	0.00183
345.2	0.00188
345.4	0.00193
345.6	0.00197
345.8	0.00204
346.0	0.00214
346.2	0.00235
346.4	0.00264
346.6	0.00308
346.8	0.0036
347.0	0.00428
347.2	0.00504
347.4	0.00591
347.6	0.0069
347.8	0.00785
348.0	0.00891
348.2	0.00994
348.4	0.01109
348.6	0.01214
348.8	0.01324
349.0	0.01425
349.2	0.01484
349.4	0.0152
349.6	0.01516
349.8	0.0149
350.0	0.01433
350.2	0.0137
350.4	0.01299
350.6	0.01259
350.8	0.01261
351.0	0.01307
351.2	0.01407
351.4	0.01544
351.6	0.01745
351.8	0.01956
352.0	0.02136
352.2	0.02313
352.4	0.02418
352.6	0.02458
352.8	0.02447
353.0	0.02418
353.2	0.02346
353.4	0.02306
353.6	0.02304
