w	ri
290	7.75504875525964e-06
290.2	6.12870183472419e-06
290.4	4.84339067474066e-06
290.6	3.82771467879774e-06
290.8	3.02503539902992e-06
291	2.39066469838018e-06
291.2	1.88925375832254e-06
291.4	1.49308589160365e-06
291.6	1.17996766386487e-06
291.8	9.32505849626929e-07
292	7.36952570321052e-07
292.2	5.82401912049729e-07
292.4	4.60267727131222e-07
292.6	3.63741351088081e-07
292.8	2.87460207473463e-07
293	2.39096596671989e-07
293.2	2.51016780646522e-07
293.4	2.63529459022485e-07
293.6	2.76674800911839e-07
293.8	2.90462848592575e-07
294	3.04953855732634e-07
294.2	3.20157864610008e-07
294.4	3.36115044336657e-07
294.6	3.52875606302534e-07
294.8	3.70469677341608e-07
295	3.88947468843833e-07
295.2	4.37542052039085e-07
295.4	4.92212213418492e-07
295.6	5.5370108155334e-07
295.8	6.22892376906778e-07
296	7.00709989053917e-07
296.2	7.88268610851686e-07
296.4	8.86753231102943e-07
296.6	9.97549684170357e-07
296.8	1.12222456542042e-06
297	1.26241476616556e-06
297.2	1.42007853061388e-06
297.4	1.59752558270318e-06
297.6	1.79716606915113e-06
297.8	2.02171140501511e-06
298	2.21743540304683e-06
298.2	1.95985097259462e-06
298.4	1.73219253055363e-06
298.6	1.53094527962723e-06
298.8	1.35309653641832e-06
299	1.19593488586951e-06
299.2	1.05694975848321e-06
299.4	9.34202994607297e-07
299.6	8.256760963657e-07
299.8	7.29762299279969e-07
300	6.44985388485524e-07
300.2	5.70059952399602e-07
300.4	5.03841171331305e-07
300.6	4.45304732925617e-07
300.8	3.93576958997379e-07
301	3.47854467307364e-07
301.2	3.07444340674239e-07
301.4	2.71734000140592e-07
301.6	2.40161078138965e-07
301.8	2.32709707870133e-07
302	2.52302192229285e-07
302.2	2.73551652456843e-07
302.4	2.96588638166682e-07
302.6	3.21563783528656e-07
302.8	3.48637764990611e-07
303	3.77991343556372e-07
303.2	4.09825364785748e-07
303.4	4.44330631960554e-07
303.6	4.81748159752558e-07
303.8	5.22318962833529e-07
304	5.66294098153225e-07
304.2	6.13984876329347e-07
304.4	6.65682523423613e-07
304.6	7.21738519165688e-07
304.8	7.82514385563221e-07
305	8.48401771457838e-07
305.2	9.52570321051627e-07
305.4	1.06950260597114e-06
305.6	1.1629962140612e-06
305.8	1.14873617931492e-06
306	1.13467699012844e-06
306.2	1.12081864650177e-06
306.4	1.10716114843491e-06
306.6	1.09360407314795e-06
306.8	1.0802478434208e-06
307	1.06699203647355e-06
307.2	1.05393707508611e-06
307.4	1.04108295925848e-06
307.6	1.02832926621075e-06
307.8	1.01577641872282e-06
308	1.0033239940148e-06
308.2	9.91052330310608e-07
308.4	9.78931300776268e-07
308.6	9.66960905411784e-07
308.8	9.55131101939164e-07
309	9.43451932636399e-07
309.2	9.31913355225499e-07
309.4	8.74310848672913e-07
309.6	7.90839434017213e-07
309.8	7.15341588085841e-07
310	6.47044055473544e-07
310.2	5.85274003554966e-07
310.4	5.29398768816718e-07
310.6	4.78866025969331e-07
310.8	4.33143534279316e-07
311	3.91789433515099e-07
311.2	3.54391990279075e-07
311.4	3.20559555729622e-07
311.6	2.89950692415067e-07
311.8	2.62274174273692e-07
312	2.37238775243776e-07
312.2	2.14583396097571e-07
312.4	1.94097148997279e-07
312.6	1.75569146105102e-07
312.8	1.58808584139226e-07
313	1.43644744373814e-07
313.2	1.60676447845429e-07
313.4	1.82628867532311e-07
313.6	2.07583928338304e-07
313.8	2.35933279105032e-07
314	2.68168991454021e-07
314.2	3.04803221562779e-07
314.4	3.46438506110726e-07
314.6	3.93757720001205e-07
314.8	4.47554203195453e-07
315	5.08691591600639e-07
315.2	5.78174113015797e-07
315.4	6.57156629409815e-07
315.6	7.46934594643449e-07
315.8	8.48964139025297e-07
316	9.64942407535726e-07
316.2	1.09671717932496e-06
316.4	1.24654796694082e-06
316.6	1.41686500165698e-06
316.8	1.49499392442182e-06
317	1.30278472368672e-06
317.2	1.13537994958776e-06
317.4	9.89435523554163e-07
