w	ri
350.0	0.02069
350.2	0.02154
350.4	0.02196
350.6	0.02128
350.8	0.01954
351.0	0.01751
351.2	0.01525
351.4	0.01286
351.6	0.01113
351.8	0.00993
352.0	0.00915
352.2	0.00854
352.4	0.00864
352.6	0.0089
352.8	0.00962
353.0	0.01049
353.2	0.01151
353.4	0.01268
353.6	0.01371
353.8	0.0145
354.0	0.01478
354.2	0.01474
354.4	0.0141
354.6	0.01302
354.8	0.01194
355.0	0.01046
355.2	0.00904
355.4	0.00776
355.6	0.0069
355.8	0.00619
356.0	0.00581
356.2	0.00561
356.4	0.00548
356.6	0.0057
356.8	0.006
357.0	0.00669
357.2	0.00733
357.4	0.00816
357.6	0.00928
357.8	0.01032
358.0	0.01116
358.2	0.01226
358.4	0.01243
358.6	0.01271
358.8	0.01236
359.0	0.01161
359.2	0.01071
359.4	0.00985
359.6	0.00873
359.8	0.00788
360.0	0.00703
360.2	0.00651
360.4	0.00606
360.6	0.00603
360.8	0.00629
361.0	0.00639
361.2	0.00702
361.4	0.00764
361.6	0.00823
361.8	0.00905
362.0	0.00997
362.2	0.0112
362.4	0.0123
362.6	0.01343
362.8	0.01496
363.0	0.01559
363.2	0.0164
363.4	0.01678
363.6	0.01655
363.8	0.01581
364.0	0.01505
364.2	0.01423
364.4	0.01292
364.6	0.01196
364.8	0.01107
365.0	0.01052
365.2	0.01012
365.4	0.01005
365.6	0.01025
365.8	0.0105
366.0	0.01104
366.2	0.01205
366.4	0.01303
366.6	0.01437
366.8	0.01602
367.0	0.01755
367.2	0.01929
367.4	0.02045
367.6	0.0212
367.8	0.02125
368.0	0.02097
368.2	0.01986
368.4	0.01825
368.6	0.01657
368.8	0.01446
369.0	0.01286
369.2	0.01164
369.4	0.01041
369.6	0.0099
369.8	0.00932
370.0	0.00919
370.2	0.00917
370.4	0.00963
370.6	0.00993
370.8	0.01049
371.0	0.01151
371.2	0.01247
371.4	0.0137
371.6	0.01502
371.8	0.01662
372.0	0.01817
372.2	0.01936
372.4	0.0203
372.6	0.02079
372.8	0.0206
373.0	0.01968
373.2	0.0182
373.4	0.01673
373.6	0.01523
373.8	0.01337
374.0	0.01189
374.2	0.01037
374.4	0.00931
374.6	0.00843
374.8	0.00753
375.0	0.00685
375.2	0.00629
375.4	0.00581
375.6	0.00546
375.8	0.00517
376.0	0.00484
376.2	0.00464
376.4	0.00445
376.6	0.0043
376.8	0.00416
377.0	0.00404
377.2	0.00416
377.4	0.00436
377.6	0.00459
377.8	0.00495
378.0	0.00542
378.2	0.00552
378.4	0.00568
378.6	0.0059
378.8	0.00578
379.0	0.00574
379.2	0.00577
379.4	0.00539
379.6	0.00515
379.8	0.00482
380.0	0.00475
380.2	0.0047
380.4	0.00482
380.6	0.00506
380.8	0.00556
381.0	0.00616
381.2	0.00685
381.4	0.00784
381.6	0.00857
381.8	0.0095
382.0	0.01038
382.2	0.01124
382.4	0.01158
382.6	0.01205
382.8	0.01205
383.0	0.01198
383.2	0.01184
383.4	0.0115
383.6	0.01125
383.8	0.01077
384.0	0.01053
384.2	0.01026
384.4	0.01021
384.6	0.01052
384.8	0.01063
385.0	0.01122
385.2	0.01205
385.4	0.01308
385.6	0.01446
385.8	0.01613
386.0	0.01836
386.2	0.02038
386.4	0.02283
386.6	0.02513
386.8	0.02696
387.0	0.02848
387.2	0.02937
387.4	0.02984
387.6	0.02943
387.8	0.02831
388.0	0.02677
388.2	0.02538
388.4	0.02376
388.6	0.02244
388.8	0.02109
389.0	0.0203
389.2	0.01963
389.4	0.01971
389.6	0.01965
389.8	0.01989
390.0	0.02058
390.2	0.02126
390.4	0.02191
390.6	0.02221
390.8	0.02239
391.0	0.02213
391.2	0.02146
391.4	0.02062
391.6	0.01912
391.8	0.01745
392.0	0.01525
392.2	0.01358
392.4	0.01167
392.6	0.01037
392.8	0.00915
393.0	0.00811
393.2	0.00727
393.4	0.00684
393.6	0.00594
393.8	0.00571
394.0	0.0057
394.2	0.00536
394.4	0.00535
394.6	0.00524
394.8	0.00529
395.0	0.00532
395.2	0.00518
395.4	0.00554
395.6	0.00573
395.8	0.00593
396.0	0.00595
396.2	0.00626
396.4	0.00652
396.6	0.00627
396.8	0.00612
397.0	0.00624
397.2	0.00583
397.4	0.0058
397.6	0.00547
397.8	0.00501
398.0	0.00472
398.2	0.00441
398.4	0.00422
398.6	0.00397
398.8	0.00374
399.0	0.00335
399.2	0.0032
399.4	0.00306
399.6	0.00294
399.8	0.00282
400.0	0.00289
400.2	0.00271
400.4	0.00283
400.6	0.00285
400.8	0.00292
401.0	0.00303
401.2	0.00308
401.4	0.00334
401.6	0.00345
401.8	0.00368
402.0	0.00401
402.2	0.00429
402.4	0.00439
402.6	0.00474
402.8	0.00493
403.0	0.00512
403.2	0.00528
403.4	0.00543
403.6	0.00545
403.8	0.00551
404.0	0.00525
404.2	0.0053
404.4	0.00514
404.6	0.00492
404.8	0.00478
405.0	0.0046
405.2	0.00435
405.4	0.00422
405.6	0.00403
405.8	0.00401
406.0	0.00407
406.2	0.00405
406.4	0.00411
406.6	0.00412
406.8	0.00418
407.0	0.00437
407.2	0.00457
407.4	0.00484
407.6	0.00523
407.8	0.00567
408.0	0.00609
408.2	0.00672
408.4	0.0076
408.6	0.00841
408.8	0.00944
409.0	0.01075
409.2	0.01218
409.4	0.01362
409.6	0.01548
409.8	0.01738
410.0	0.01923
410.2	0.02127
410.4	0.0231
410.6	0.02506
410.8	0.0266
411.0	0.02823
411.2	0.02936
411.4	0.03043
411.6	0.03103
411.8	0.03136
