w	ri
270.0	1.9315e-06
270.2	1.9227e-06
270.4	1.9139e-06
270.6	1.9051e-06
270.8	1.8964e-06
271.0	1.8877e-06
271.2	1.8791e-06
271.4	1.8705e-06
271.6	1.8619e-06
271.8	1.8534e-06
272.0	2.2437e-06
272.2	2.7243e-06
272.4	3.3079e-06
272.6	4.0165e-06
272.8	4.8768e-06
273.0	5.9215e-06
273.2	7.1899e-06
273.4	8.73e-06
273.6	1.06e-05
273.8	1.287e-05
274.0	1.1301e-05
274.2	9.0554e-06
274.4	7.2563e-06
274.6	5.8145e-06
274.8	4.6593e-06
275.0	3.7336e-06
275.2	2.9918e-06
275.4	2.3973e-06
275.6	1.921e-06
275.8	1.5393e-06
276.0	1.5837e-06
276.2	1.9599e-06
276.4	2.4255e-06
276.6	3.0017e-06
276.8	3.7147e-06
277.0	4.5971e-06
277.2	5.6892e-06
277.4	7.0406e-06
277.6	8.7131e-06
277.8	1.0783e-05
278.0	1.1301e-05
278.2	8.9794e-06
278.4	7.1345e-06
278.6	5.6686e-06
278.8	4.5039e-06
279.0	3.5786e-06
279.2	2.8433e-06
279.4	2.2591e-06
279.6	1.795e-06
279.8	1.4262e-06
280.0	1.1667e-06
280.2	1.2814e-06
280.4	1.4074e-06
280.6	1.5458e-06
280.8	1.6977e-06
281.0	1.8647e-06
281.2	2.048e-06
281.4	2.2494e-06
281.6	2.4706e-06
281.8	2.7135e-06
282.0	2.8008e-06
282.2	2.8862e-06
282.4	2.9743e-06
282.6	3.0651e-06
282.8	3.1586e-06
283.0	3.255e-06
283.2	3.3543e-06
283.4	3.4567e-06
283.6	3.5622e-06
283.8	3.6709e-06
284.0	4.0947e-06
284.2	4.6737e-06
284.4	5.3346e-06
284.6	6.089e-06
284.8	6.95e-06
285.0	7.9327e-06
285.2	9.0544e-06
285.4	1.0335e-05
285.6	1.1796e-05
285.8	1.3464e-05
286.0	1.1775e-05
286.2	8.492e-06
286.4	6.1243e-06
286.6	4.4167e-06
286.8	3.1852e-06
287.0	2.2971e-06
287.2	1.6566e-06
287.4	1.1947e-06
287.6	8.616e-07
287.8	6.2137e-07
288.0	5.1693e-07
288.2	5.4029e-07
288.4	5.6471e-07
288.6	5.9023e-07
288.8	6.169e-07
289.0	6.4478e-07
289.2	6.7391e-07
289.4	7.0437e-07
289.6	7.362e-07
289.8	7.6947e-07
290.0	7.988e-07
290.2	7.7732e-07
290.4	7.5643e-07
290.6	7.3609e-07
290.8	7.1631e-07
291.0	6.9705e-07
291.2	6.7831e-07
291.4	6.6008e-07
291.6	6.4233e-07
291.8	6.2506e-07
292.0	6.5273e-07
292.2	6.8337e-07
292.4	7.1545e-07
292.6	7.4903e-07
292.8	7.8419e-07
293.0	8.21e-07
293.2	8.5954e-07
293.4	8.9989e-07
293.6	9.4213e-07
293.8	9.8635e-07
294.0	9.3422e-07
294.2	8.5875e-07
294.4	7.8939e-07
294.6	7.2562e-07
294.8	6.6701e-07
295.0	6.1313e-07
295.2	5.6361e-07
295.4	5.1808e-07
295.6	4.7623e-07
295.8	4.3776e-07
296.0	4.1988e-07
296.2	4.1532e-07
296.4	4.108e-07
296.6	4.0634e-07
296.8	4.0193e-07
297.0	3.9756e-07
297.2	3.9324e-07
297.4	3.8897e-07
297.6	3.8474e-07
297.8	3.8056e-07
298.0	4.0266e-07
298.2	4.7337e-07
298.4	5.5651e-07
298.6	6.5425e-07
298.8	7.6916e-07
299.0	9.0424e-07
299.2	1.0631e-06
299.4	1.2498e-06
299.6	1.4693e-06
299.8	1.7273e-06
