w	ri
340.0	0.00297
340.2	0.00305
340.4	0.0033
340.6	0.00336
340.8	0.00352
341.0	0.0039
341.2	0.004
341.4	0.00436
341.6	0.0045
341.8	0.00481
342.0	0.00501
342.2	0.00523
342.4	0.00532
342.6	0.00549
342.8	0.00557
343.0	0.00588
343.2	0.00637
343.4	0.0071
343.6	0.00819
343.8	0.00968
344.0	0.01134
344.2	0.01278
344.4	0.01387
344.6	0.01453
344.8	0.01447
345.0	0.01406
345.2	0.01281
345.4	0.01164
345.6	0.01057
345.8	0.00961
346.0	0.00894
346.2	0.00832
346.4	0.00819
346.6	0.00808
346.8	0.00788
347.0	0.00791
347.2	0.00745
347.4	0.00715
347.6	0.0066
347.8	0.00621
348.0	0.00568
348.2	0.00499
348.4	0.00469
348.6	0.00415
348.8	0.00406
349.0	0.00384
349.2	0.00379
349.4	0.00406
349.6	0.00465
349.8	0.0055
350.0	0.00667
350.2	0.00793
350.4	0.00951
350.6	0.01063
350.8	0.0115
351.0	0.01197
351.2	0.01188
351.4	0.01168
351.6	0.01125
351.8	0.01147
352.0	0.01245
352.2	0.0141
352.4	0.01556
352.6	0.01622
352.8	0.01621
353.0	0.01568
353.2	0.01411
353.4	0.01175
353.6	0.0088
353.8	0.0061
354.0	0.00397
354.2	0.0028
354.4	0.00215
354.6	0.00181
354.8	0.00166
355.0	0.00159
355.2	0.00188
355.4	0.00225
355.6	0.00285
355.8	0.00326
356.0	0.00365
356.2	0.00375
356.4	0.00362
356.6	0.00338
356.8	0.00284
357.0	0.00228
357.2	0.00171
357.4	0.00133
357.6	0.00111
357.8	9.3429e-04
358.0	0.00106
358.2	0.00161
358.4	0.0026
358.6	0.00346
358.8	0.00407
359.0	0.00429
359.2	0.00434
359.4	0.0041
359.6	0.00346
359.8	0.00241
360.0	0.00141
360.2	8.4988e-04
360.4	6.0589e-04
360.6	5.324e-04
360.8	5.2649e-04
361.0	5.3797e-04
361.2	5.2011e-04
361.4	5.4726e-04
361.6	5.3775e-04
361.8	5.6857e-04
362.0	5.6023e-04
362.2	6.0418e-04
362.4	6.0384e-04
362.6	7.0676e-04
362.8	6.6253e-04
363.0	7.027e-04
363.2	7.6514e-04
363.4	8.2546e-04
363.6	7.2523e-04
363.8	8.0199e-04
364.0	8.645e-04
364.2	8.4551e-04
364.4	6.8251e-04
364.6	8.0667e-04
364.8	7.4366e-04
365.0	5.2905e-04
365.2	4.3235e-04
365.4	5.2565e-04
365.6	7.7508e-04
365.8	0.00104
366.0	0.00119
366.2	0.00126
366.4	0.00137
366.6	0.00143
366.8	0.00124
367.0	0.00109
367.2	8.5335e-04
367.4	5.2072e-04
367.6	4.6066e-04
367.8	3.7459e-04
368.0	3.5424e-04
368.2	3.601e-04
368.4	3.583e-04
368.6	3.3759e-04
368.8	3.5632e-04
369.0	3.0192e-04
369.2	3.1765e-04
369.4	3.2853e-04
369.6	3.1782e-04
369.8	3.2168e-04
370.0	3.6407e-04
370.2	3.1669e-04
370.4	3.4373e-04
370.6	3.6027e-04
370.8	3.0575e-04
371.0	3.7743e-04
371.2	3.6435e-04
371.4	3.6651e-04
371.6	4.6711e-04
371.8	3.6595e-04
372.0	4.2332e-04
372.2	4.5223e-04
372.4	4.6263e-04
372.6	5.3549e-04
372.8	5.7647e-04
373.0	6.379e-04
373.2	6.6448e-04
373.4	7.247e-04
373.6	8.1039e-04
373.8	9.1688e-04
374.0	0.00103
374.2	0.00122
374.4	0.00146
374.6	0.00174
374.8	0.00215
375.0	0.00269
375.2	0.00315
375.4	0.00383
375.6	0.00435
375.8	0.00494
376.0	0.00549
376.2	0.00575
376.4	0.00605
376.6	0.00601
376.8	0.00616
377.0	0.00613
377.2	0.00619
377.4	0.00611
377.6	0.00614
377.8	0.00594
378.0	0.00586
378.2	0.00554
378.4	0.0053
378.6	0.0048
378.8	0.00443
379.0	0.00404
379.2	0.00366
379.4	0.00328
379.6	0.00307
379.8	0.003
380.0	0.00277
380.2	0.0028
380.4	0.0028
380.6	0.00296
380.8	0.00321
381.0	0.00348
381.2	0.00384
381.4	0.00414
381.6	0.00461
381.8	0.00512
382.0	0.00536
382.2	0.00576
382.4	0.00598
382.6	0.00636
382.8	0.00653
383.0	0.00697
383.2	0.00729
383.4	0.00782
383.6	0.00873
383.8	0.00966
384.0	0.01106
384.2	0.01255
384.4	0.0139
384.6	0.01496
384.8	0.0157
385.0	0.01559
385.2	0.0152
385.4	0.01427
385.6	0.01273
385.8	0.01098
386.0	0.00926
386.2	0.00756
386.4	0.00621
386.6	0.00521
386.8	0.00458
387.0	0.0041
387.2	0.00386
387.4	0.00359
387.6	0.00339
387.8	0.00333
388.0	0.0033
388.2	0.00329
388.4	0.00316
388.6	0.00307
388.8	0.00296
389.0	0.0028
389.2	0.00262
389.4	0.0024
389.6	0.00231
389.8	0.00204
390.0	0.0019
390.2	0.00174
390.4	0.00164
390.6	0.00159
390.8	0.00146
391.0	0.00146
391.2	0.00143
391.4	0.00139
391.6	0.00145
391.8	0.00154
392.0	0.00173
392.2	0.00206
392.4	0.00198
392.6	0.0021
392.8	0.00223
393.0	0.00249
393.2	0.00259
393.4	0.00272
393.6	0.00283
393.8	0.00283
394.0	0.00294
394.2	0.00289
394.4	0.00287
394.6	0.00295
394.8	0.00284
395.0	0.00293
395.2	0.00283
395.4	0.00287
395.6	0.00277
395.8	0.00301
396.0	0.00304
396.2	0.00328
396.4	0.00348
396.6	0.00405
396.8	0.00464
397.0	0.00539
397.2	0.00632
397.4	0.00717
397.6	0.00828
397.8	0.00915
398.0	0.01023
398.2	0.01094
398.4	0.0114
398.6	0.0117
398.8	0.0115
399.0	0.01113
399.2	0.01078
399.4	0.01025
399.6	0.00962
399.8	0.00907
400.0	0.00884
400.2	0.00854
400.4	0.00865
400.6	0.00893
400.8	0.00906
401.0	0.00963
401.2	0.01025
401.4	0.01093
401.6	0.01156
401.8	0.01197
402.0	0.01274
402.2	0.01311
402.4	0.01299
402.6	0.01289
402.8	0.01271
403.0	0.01211
403.2	0.01151
403.4	0.0108
403.6	0.01018
403.8	0.00955
404.0	0.00899
404.2	0.00846
404.4	0.00806
404.6	0.00787
404.8	0.00788
405.0	0.00782
405.2	0.00804
405.4	0.00815
405.6	0.00852
405.8	0.00902
406.0	0.00946
406.2	0.01028
406.4	0.01119
406.6	0.0122
406.8	0.01315
407.0	0.01431
407.2	0.01551
407.4	0.01633
407.6	0.01731
407.8	0.01798
408.0	0.01844
408.2	0.01848
408.4	0.0184
408.6	0.01781
408.8	0.01707
409.0	0.01611
409.2	0.01513
409.4	0.0138
409.6	0.01282
409.8	0.01164
410.0	0.01064
410.2	0.00978
410.4	0.0091
410.6	0.0084
410.8	0.00784
411.0	0.00748
411.2	0.00724
411.4	0.0071
411.6	0.007
411.8	0.00711
412.0	0.00739
412.2	0.00755
412.4	0.0079
412.6	0.00831
412.8	0.00889
413.0	0.00926
413.2	0.00985
413.4	0.01034
413.6	0.01067
413.8	0.01102
414.0	0.01124
414.2	0.01119
414.4	0.01113
414.6	0.01088
414.8	0.01048
415.0	0.01015
415.2	0.00963
415.4	0.00905
415.6	0.00856
415.8	0.00828
416.0	0.00794
416.2	0.00763
416.4	0.0076
416.6	0.00749
416.8	0.00765
417.0	0.00792
417.2	0.00843
417.4	0.00893
417.6	0.00976
417.8	0.01081
418.0	0.01212
418.2	0.01372
418.4	0.01522
418.6	0.01705
418.8	0.01863
419.0	0.01988
419.2	0.02083
419.4	0.02134
419.6	0.02132
419.8	0.02089
420.0	0.02001
420.2	0.01868
420.4	0.01733
420.6	0.01576
420.8	0.01436
421.0	0.0132
421.2	0.01209
421.4	0.01144
421.6	0.01091
421.8	0.01064
422.0	0.01065
422.2	0.01095
422.4	0.01126
422.6	0.01194
422.8	0.01261
423.0	0.01356
423.2	0.01451
423.4	0.01535
423.6	0.01639
423.8	0.01704
424.0	0.01745
424.2	0.01763
424.4	0.01776
424.6	0.01736
424.8	0.01662
425.0	0.01564
425.2	0.01441
425.4	0.0133
425.6	0.0118
425.8	0.01077
426.0	0.00961
426.2	0.00873
426.4	0.00791
426.6	0.00731
426.8	0.00678
427.0	0.00657
427.2	0.00635
427.4	0.00615
427.6	0.00624
427.8	0.00618
428.0	0.00636
428.2	0.00663
428.4	0.00696
428.6	0.00732
428.8	0.00793
429.0	0.00855
429.2	0.00924
429.4	0.0101
429.6	0.01093
429.8	0.0118
430.0	0.01262
430.2	0.01335
430.4	0.01393
430.6	0.01436
430.8	0.01462
431.0	0.01464
431.2	0.01446
431.4	0.01415
431.6	0.01355
431.8	0.01274
432.0	0.01199
432.2	0.01114
432.4	0.01033
432.6	0.00943
432.8	0.00872
433.0	0.0081
433.2	0.00755
433.4	0.00718
433.6	0.00693
433.8	0.00683
434.0	0.00686
434.2	0.00696
434.4	0.00704
434.6	0.00717
434.8	0.00738
435.0	0.00758
435.2	0.00785
435.4	0.00812
435.6	0.0084
435.8	0.00872
436.0	0.00902
436.2	0.00947
436.4	0.0099
436.6	0.0104
436.8	0.01091
437.0	0.01143
437.2	0.01198
437.4	0.01248
437.6	0.01272
437.8	0.01294
438.0	0.01296
438.2	0.01296
438.4	0.01265
438.6	0.01221
438.8	0.01177
439.0	0.01114
439.2	0.01048
439.4	0.00977
439.6	0.00911
439.8	0.0085
440.0	0.00789
440.2	0.00736
440.4	0.00684
440.6	0.00623
440.8	0.00579
441.0	0.0053
441.2	0.00489
441.4	0.00474
441.6	0.00459
441.8	0.00468
442.0	0.00495
442.2	0.00535
442.4	0.00594
442.6	0.00699
442.8	0.00829
443.0	0.00998
443.2	0.01201
443.4	0.01421
443.6	0.01629
443.8	0.01796
444.0	0.01922
444.2	0.01986
444.4	0.01993
444.6	0.01946
444.8	0.01835
445.0	0.01664
445.2	0.01469
445.4	0.01262
445.6	0.01037
445.8	0.00855
446.0	0.00701
446.2	0.00577
446.4	0.00488
446.6	0.00429
446.8	0.00378
447.0	0.00345
447.2	0.00323
447.4	0.00306
447.6	0.00296
447.8	0.00289
448.0	0.0029
448.2	0.00287
448.4	0.00288
448.6	0.00298
448.8	0.00303
449.0	0.00306
449.2	0.00311
449.4	0.00307
449.6	0.00313
449.8	0.0031
450.0	0.00304
450.2	0.00295
450.4	0.00289
450.6	0.00278
450.8	0.00264
451.0	0.00248
451.2	0.00231
451.4	0.00215
451.6	0.002
451.8	0.00185
452.0	0.00173
452.2	0.00162
452.4	0.00154
452.6	0.00145
452.8	0.00136
453.0	0.00138
453.2	0.00135
453.4	0.00139
453.6	0.00143
453.8	0.0014
454.0	0.00146
454.2	0.0015
454.4	0.00154
454.6	0.00156
454.8	0.00161
455.0	0.00163
455.2	0.00168
455.4	0.0017
455.6	0.00176
455.8	0.00179
456.0	0.00182
456.2	0.00192
456.4	0.00196
456.6	0.00207
456.8	0.00218
457.0	0.00226
457.2	0.00237
457.4	0.00247
457.6	0.00255
457.8	0.00259
458.0	0.00266
458.2	0.00263
458.4	0.00267
458.6	0.00258
458.8	0.00254
459.0	0.00245
459.2	0.00232
459.4	0.00221
459.6	0.00214
459.8	0.00206
460.0	0.00195
460.2	0.00188
460.4	0.00177
460.6	0.0018
460.8	0.00172
461.0	0.00167
461.2	0.00172
461.4	0.00172
461.6	0.00172
461.8	0.00181
462.0	0.00186
462.2	0.00199
462.4	0.00209
462.6	0.00223
462.8	0.00243
463.0	0.00269
463.2	0.00296
463.4	0.00337
463.6	0.00386
463.8	0.00441
464.0	0.0051
464.2	0.006
464.4	0.00703
464.6	0.00817
464.8	0.00952
465.0	0.01081
465.2	0.01225
465.4	0.01358
465.6	0.01488
465.8	0.01589
466.0	0.0168
466.2	0.01748
466.4	0.01798
466.6	0.01819
466.8	0.01829
467.0	0.018
467.2	0.0178
467.4	0.01748
467.6	0.01713
467.8	0.01703
468.0	0.01702
468.2	0.01723
468.4	0.01768
468.6	0.01826
468.8	0.01913
469.0	0.02024
469.2	0.02143
469.4	0.02291
469.6	0.02435
469.8	0.02574
470.0	0.02672
470.2	0.02762
470.4	0.0282
470.6	0.02837
470.8	0.02802
471.0	0.02722
471.2	0.02631
471.4	0.02468
471.6	0.02311
471.8	0.02149
472.0	0.01971
472.2	0.01793
472.4	0.0162
472.6	0.01477
472.8	0.01345
473.0	0.01228
473.2	0.01142
473.4	0.01073
473.6	0.0101
473.8	0.00965
474.0	0.00928
474.2	0.00901
474.4	0.00895
474.6	0.00888
474.8	0.00898
475.0	0.00913
475.2	0.00935
475.4	0.00961
475.6	0.01005
475.8	0.0105
476.0	0.01114
476.2	0.01177
476.4	0.01259
476.6	0.01348
476.8	0.01444
477.0	0.01538
477.2	0.01652
477.4	0.01765
477.6	0.01856
477.8	0.01966
478.0	0.02053
478.2	0.02143
478.4	0.02208
478.6	0.02265
478.8	0.02285
479.0	0.02303
479.2	0.02303
479.4	0.02277
479.6	0.02251
479.8	0.02193
480.0	0.02128
480.2	0.02062
480.4	0.01993
480.6	0.0192
480.8	0.01836
481.0	0.01765
481.2	0.01684
481.4	0.01621
481.6	0.01559
481.8	0.01496
482.0	0.01441
482.2	0.01389
482.4	0.01334
482.6	0.01299
482.8	0.01244
483.0	0.0121
483.2	0.01176
483.4	0.01142
483.6	0.01116
483.8	0.01092
484.0	0.0107
484.2	0.01049
484.4	0.01039
484.6	0.01028
484.8	0.01013
485.0	0.0101
485.2	0.01013
485.4	0.01011
485.6	0.01021
485.8	0.01034
486.0	0.01046
486.2	0.01059
486.4	0.01085
486.6	0.01108
486.8	0.01132
487.0	0.01153
487.2	0.01169
487.4	0.01187
487.6	0.01203
487.8	0.01216
488.0	0.01214
488.2	0.01215
488.4	0.01203
488.6	0.0118
488.8	0.01157
489.0	0.01113
489.2	0.0107
489.4	0.01019
489.6	0.00965
489.8	0.00908
490.0	0.00847
490.2	0.00791
490.4	0.00737
490.6	0.00684
490.8	0.00632
491.0	0.00581
491.2	0.00546
491.4	0.00509
491.6	0.00474
491.8	0.00439
492.0	0.00418
492.2	0.00393
492.4	0.00376
492.6	0.00361
492.8	0.00345
493.0	0.00332
493.2	0.0032
493.4	0.00315
493.6	0.00312
493.8	0.00307
494.0	0.00304
494.2	0.00301
494.4	0.00307
494.6	0.00309
494.8	0.00316
495.0	0.00323
495.2	0.00333
495.4	0.00345
495.6	0.00359
495.8	0.00371
496.0	0.0039
496.2	0.00412
496.4	0.00433
496.6	0.00462
496.8	0.00491
