w	ri
300	1.02135562908122e-06
301	7.09921440913706e-07
302	3.94055044559917e-07
303	5.90347355636097e-07
304	4.34321707693156e-07
305	1.09831319707959e-06
306	7.57655953359576e-07
307	1.04067041076811e-08
308	5.80648317637901e-07
309	6.15785479905565e-07
310	4.98824578433487e-07
311	3.80462850722426e-07
312	9.5933997101085e-07
313	5.01595884260793e-07
314	1.03359284200966e-06
315	1.08750056122884e-06
316	1.09725171501497e-06
317	5.98915167512893e-07
318	4.32728449379036e-07
319	2.87360332183604e-07
320	1.04067041076811e-08
321	6.35559250986261e-07
322	8.41678612052826e-07
323	4.45179035346223e-07
324	7.66506823176588e-07
325	6.6150841758501e-07
326	4.50432348180224e-07
327	7.42517293022108e-07
328	7.31149011772658e-07
329	7.96352251266025e-07
330	3.71690006699169e-07
331	3.64286666202384e-07
332	9.81518699366326e-07
333	5.14074509823312e-07
334	6.95400953089377e-07
335	1.00325518296503e-06
336	3.58695162721732e-07
337	3.86224011501417e-07
338	7.15295460064739e-07
339	4.24364575276318e-07
340	1.04067041076811e-08
341	5.12791372982889e-07
342	2.98740059976729e-07
343	2.57901010505009e-07
344	9.34613602882818e-07
345	1.08952986778571e-07
346	8.80863000045961e-07
347	7.06859741893395e-07
348	7.40608707571032e-07
349	1.04067041076811e-08
350	1.04067041076811e-08
351	3.10576643876917e-07
352	5.52612626552709e-07
353	5.74036947821104e-07
354	1.04067041076811e-08
355	6.79285106939052e-07
356	4.54223490766041e-07
357	1.75323825486553e-07
358	2.87968063792574e-07
359	5.77128756871012e-07
360	5.58910769244438e-07
361	2.72032286267114e-07
362	5.65506522071428e-07
363	2.30361765187608e-07
364	6.73862166384345e-07
365	7.58914126678415e-07
366	1.04067041076811e-08
367	6.0022539746441e-07
368	4.013324730764e-07
369	5.64615762099865e-07
370	4.17308831113239e-07
371	5.57226973798127e-07
372	3.82171639267942e-07
373	4.13371989111162e-07
374	6.12262843064927e-07
375	4.85058556851504e-07
376	1.56277471903554e-07
377	5.90483708520579e-07
378	5.90334873875305e-07
379	5.06892883257554e-07
380	3.86925415471581e-07
381	5.11943263956971e-07
382	4.14147278006583e-07
383	5.09282223542538e-07
384	5.068908128233e-07
385	7.72133731082995e-07
386	6.80026085781112e-07
387	7.02118447450538e-07
388	5.7987302874248e-07
389	3.91978931400012e-07
390	3.01317780201229e-07
391	5.06120670435882e-07
392	6.22914103354407e-07
393	3.18968616730234e-07
394	4.68814728286613e-07
395	4.52369032381897e-07
396	6.12421024241969e-07
397	2.67049549612559e-07
398	4.55917697538879e-07
399	6.82439383948174e-07
400	6.75329512718153e-07
401	4.19326705915326e-07
402	5.43220604376829e-07
403	6.17881410079051e-07
404	4.13495830657219e-07
405	4.83668230671957e-07
406	4.50280407883568e-07
407	5.4601166806245e-07
408	5.36476016904574e-07
409	3.42150588792553e-07
410	4.41140180090668e-07
411	5.68087407102586e-07
412	5.43224745245338e-07
413	5.8636993312264e-07
414	3.56842774771843e-07
415	3.90235803223501e-07
416	4.35125124916809e-07
417	5.64825940754329e-07
418	3.93261033023308e-07
419	3.88998452557737e-07
420	3.19418167162152e-07
421	3.96073954579131e-07
422	4.49266782427819e-07
423	3.24950367490237e-07
424	4.15825867789625e-07
425	4.08296644890161e-07
426	3.80174587118931e-07
427	3.22764964979321e-07
428	2.04725884869192e-07
429	4.26043194636982e-07
430	3.0501320956923e-07
431	1.22030056573548e-07
432	2.69309901843481e-07
433	4.24073206021442e-07
434	2.93376452152233e-07
435	4.58347677490518e-07
436	3.18103811130938e-08
437	2.67542845362514e-07
438	3.53721802176587e-07
439	4.2340197123613e-07
440	3.87338555838261e-07
441	3.09798219752482e-07
442	5.50498003315679e-08
443	3.47896132581738e-07
444	3.01564428076207e-07
445	3.30779172314089e-07
446	3.14632121761773e-07
447	2.49104238177306e-07
448	1.79972497574144e-07
449	3.10745236380496e-07
450	1.75452872695869e-07
451	2.84717008770864e-07
452	3.04154659639142e-07
453	3.73881650090471e-07
454	2.96267429079445e-07
455	2.11958547639322e-07
456	1.26340515831254e-07
457	2.20906225046553e-07
458	2.35315353085627e-07
459	2.17789422897439e-07
460	3.48999230374918e-07
461	2.6712656976683e-07
462	2.53095207246315e-07
463	2.46256962201667e-07
464	2.60857561042827e-07
465	2.26073156405683e-07
466	2.48357048032472e-07
467	1.5019579311315e-07
468	2.79977814339894e-07
469	2.97739981076522e-07
470	3.76985970478803e-07
471	3.23408101014044e-07
472	3.5100459383858e-07
473	2.95149749513597e-07
474	4.40665636559533e-07
475	1.40885964219404e-06
476	1.88645456750325e-05
477	0.000602407682492885
478	0.0442375455182775
479	0.595014770915889
480	0.983039157658948
481	0.994024456463416
482	0.994142063050284
483	0.992927601360317
484	0.995096313963932
485	1
486	0.997220365838358
487	0.992103362791629
488	0.987083186686937
489	0.991679830209835
490	0.995568787261474
491	0.997420160572693
492	0.993239792263095
493	0.993124294655113
494	0.990326920259383
495	0.984707297922921
496	0.987367278547605
497	0.971741605922906
498	0.31141126291486
499	0.0319734534144554
500	0.000739151786761025
501	3.70262208025828e-05
502	3.24439413893854e-06
503	7.29344480431682e-07
504	2.85022989376042e-07
505	2.63195968645148e-07
506	2.25503920085038e-07
507	1.93595910602437e-07
508	2.16457364653343e-07
509	2.17076557594789e-07
510	2.37377964056424e-07
511	2.1311265205924e-07
512	1.55480325137931e-07
513	2.80567858524803e-07
514	1.82470106781823e-07
515	2.49242631918399e-07
516	1.45124604549469e-07
517	2.99532001079073e-07
518	1.71622155238156e-07
519	2.79349230500227e-07
520	1.8721140122467e-07
521	1.73637944817177e-07
522	2.12536124852261e-07
523	1.95170446275369e-07
524	1.57127710518993e-07
525	2.11215513151829e-07
526	1.67397034843772e-07
527	1.254798806781e-07
528	2.41331473054246e-07
529	1.29886075336854e-07
530	1.47827231114787e-07
531	1.35065488456776e-07
532	2.33508751310396e-07
533	1.38649558039511e-07
534	8.25232871781667e-08
535	2.2784541854993e-07
536	2.05406480975103e-07
537	2.45238145871471e-07
538	3.28746745316956e-07
539	3.06766749072279e-07
540	2.16265879062435e-07
541	1.80658299343324e-07
542	2.81311943018245e-07
543	2.74810868191954e-07
544	2.79099476973868e-07
545	3.4084038841866e-07
546	1.71520171562311e-07
547	2.3784730192429e-07
548	1.93731198692159e-07
549	2.3485537653835e-07
550	2.92650055082842e-07
551	1.97781500491379e-07
552	1.85937625704846e-07
553	2.2394083095577e-07
554	1.32448208149191e-07
555	1.165082601776e-07
556	2.50338483191688e-07
557	2.02166872497059e-07
558	3.0160397337047e-07
559	1.57223453314442e-07
560	1.01526553545444e-07
561	2.627682465058e-07
562	1.7352763503786e-07
563	1.45231793888593e-07
564	1.50212445320073e-07
565	1.85074905328616e-07
566	7.73179640524295e-08
567	1.7827620557823e-07
568	2.60651523256872e-07
569	2.25757844057539e-07
570	9.99086274860663e-08
571	2.12298853086693e-07
572	1.53121124460177e-07
573	1.18631224306924e-07
574	1.83197539068331e-07
575	4.03399232310117e-08
576	1.04067041076811e-08
577	1.34628404996838e-07
578	9.71760313849108e-08
579	1.24348669345511e-07
580	2.12741127421088e-07
581	5.17641949382337e-08
582	1.05556239735013e-07
583	1.04067041076811e-08
584	1.4887935185886e-07
585	1.6355280040815e-07
586	6.24491774256353e-08
587	2.02232446107665e-07
588	1.04067041076811e-08
589	1.32660501604363e-07
590	1.02986409343898e-07
591	1.04067041076811e-08
592	7.01340082481368e-08
593	4.45281011627668e-08
594	1.04067041076811e-08
595	1.04067041076811e-08
596	3.13493619542851e-08
597	1.85570267815625e-08
598	1.86854458359197e-07
599	1.58915574864214e-07
600	8.35090135323359e-08
601	1.78594653155389e-07
602	2.23645276465941e-07
603	1.63990926479625e-08
604	1.81400298613689e-07
605	1.28166890253621e-07
606	1.10135189949087e-07
607	8.3082023439381e-08
608	1.02746741790122e-07
609	1.58039337510075e-07
610	1.02383136562987e-07
611	1.51738074378153e-07
612	5.1422647230318e-08
613	6.59570698166199e-08
614	1.30586444089902e-07
615	1.24133255450146e-07
616	7.38189153734752e-08
617	1.98626518654727e-07
618	2.12238485139355e-07
619	1.20066308838403e-07
620	1.80309682581312e-07
621	1.35120650740845e-07
622	7.59618665877594e-08
623	2.02372925071835e-07
624	2.6416691357762e-07
625	9.14938724615418e-08
626	2.10348637118279e-07
627	1.62251961354845e-07
628	1.37559977224262e-07
629	1.03595516312762e-07
630	1.09789686232868e-07
631	7.83382370810172e-08
632	1.40363537459486e-07
633	1.88468539326381e-07
634	2.47345500405389e-08
635	1.02495938257819e-07
636	5.8824937721159e-08
637	1.04067041076811e-08
638	7.12616776592689e-08
639	9.83399186066803e-08
640	9.51636876000462e-08
641	8.10148427244039e-08
642	8.89178973173322e-08
643	3.14019177095135e-08
644	6.45302004724851e-08
