w	ri
300	1.20880346299281e-07
300.2	1.1954218748416e-07
300.4	1.1821416623582e-07
300.6	1.16906420121043e-07
300.8	1.15618949139827e-07
301	1.14331478158612e-07
301.2	1.13074419877741e-07
301.4	1.1181736159687e-07
301.6	1.10580578449561e-07
301.8	1.09364070435814e-07
302	1.08147562422067e-07
302.2	1.06951329541883e-07
302.4	1.0576523422848e-07
302.6	1.0459941404864e-07
302.8	1.03443731435581e-07
303	1.02298186389303e-07
303.2	1.01164806423162e-07
303.4	1.00045619050515e-07
303.6	9.89385967580061e-08
303.8	9.99969587299656e-08
304	1.42148961406283e-07
304.2	2.020619810833e-07
304.4	2.87237817179121e-07
304.6	4.08310777247245e-07
304.8	5.80416248492037e-07
305	8.25076285190029e-07
305.2	9.39215149579798e-07
305.4	1.06910779274758e-06
305.6	1.2170148920856e-06
305.8	1.38539987632169e-06
306	1.57710126415458e-06
306.2	1.79526170128646e-06
306.4	2.04363208742638e-06
306.6	2.32636882495463e-06
306.8	2.14754214693389e-06
307	1.82364688827388e-06
307.2	1.54851332583153e-06
307.4	1.3149437871922e-06
307.6	1.11665298095151e-06
307.8	9.4819703374796e-07
308	8.05176241598491e-07
308.2	6.83728191559462e-07
308.4	5.80598724694099e-07
308.6	4.93020285271129e-07
308.8	4.18661232930872e-07
309	3.55504191883864e-07
309.2	3.01886601177985e-07
309.4	2.5634865119674e-07
309.6	2.17683971493162e-07
309.8	1.84848392688787e-07
310	1.56970084040429e-07
310.2	1.33288728039496e-07
310.4	1.13185933112334e-07
310.6	9.61132568960798e-08
310.8	8.53674361079854e-08
311	8.4874750362418e-08
311.2	8.4385105886885e-08
311.4	8.38974889247083e-08
311.6	8.34129132325659e-08
311.8	8.29313788104579e-08
312	8.24518719017062e-08
312.2	8.19764200196669e-08
312.4	8.15029956509839e-08
312.6	8.10315987956571e-08
312.8	8.05642569670428e-08
313	8.00989426517847e-08
313.2	7.96356558498829e-08
313.4	7.91764240746936e-08
313.6	7.87192198128605e-08
313.8	7.82640430643837e-08
314	7.78119075859412e-08
314.2	7.73628133775331e-08
314.4	7.69157466824813e-08
314.6	7.64717212574638e-08
314.8	7.60307371024807e-08
