w	ri
1027.572998	0.002021
1027.327759	-0.000313
1027.082642	-0.000818
1026.837402	0.001131
1026.592285	-0.000578
1026.347046	0.001107
1026.101929	-0.00089
1025.856689	-0.002214
1025.611572	0.000698
1025.366455	0.001612
1025.121338	-0.002238
1024.876221	-0.001781
1024.631104	-0.000361
1024.385864	0.00012
1024.140747	0.001203
1023.895691	0.001179
1023.650574	0.000409
1023.405518	-0.00089
1023.1604	0.000072
1022.915344	0.000144
1022.670227	0.002141
1022.425171	-0.001829
1022.180115	0.001083
1021.935059	-0.001636
1021.690002	-0.000193
1021.444946	0
1021.19989	0.001227
1020.954834	-0.001444
1020.709778	0.001636
1020.464783	-0.001107
1020.219788	0.001444
1019.974731	-0.001973
1019.729736	-0.000601
1019.484741	0.00166
1019.239746	0.000553
1018.994751	0.001347
1018.749756	0.000866
1018.504761	-0.001251
1018.259827	0.001058
1018.014832	-0.000818
1017.769897	0.000433
1017.524963	-0.000626
1017.279968	0.001083
1017.035034	0.000962
1016.7901	-0.000048
1016.545166	0.000505
1016.300232	0.001323
1016.055359	-0.000505
1015.810425	0.001492
1015.565552	0.000192
1015.320618	0.000505
1015.075745	-0.000914
1014.830872	0.002526
1014.585938	0.000096
1014.341064	0.001708
1014.096191	-0.00077
1013.851379	0.000096
1013.606506	-0.000698
1013.361633	0.000553
1013.116821	-0.000986
1012.871948	-0.001251
1012.627136	-0.001877
1012.382324	0.00178
1012.137512	0.000553
1011.8927	0.001107
1011.647888	-0.000818
1011.403076	0.000529
1011.158264	-0.00089
1010.913513	-0.001155
1010.668701	0.001732
1010.42395	0.001636
1010.179138	-0.000313
1009.934387	0.000505
1009.689636	-0.000241
1009.444885	-0.001107
1009.200134	0.000337
1008.955383	0.00101
1008.710632	-0.000602
1008.465942	0.001492
1008.221191	-0.00255
1007.976501	0.000241
1007.731812	0
1007.487061	0.000265
1007.242371	0.000698
1006.997681	0.001275
1006.752991	-0.001371
1006.508362	0.000602
1006.263672	-0.000265
1006.018982	0.000217
1005.774353	0.001155
1005.529663	0.001949
1005.285034	0.001131
